Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
Minari, (2020),"$3,110,580","$12,177,998",,1 hr 55 min,PG-13,Drama
Ainbo, (2021),"$10,172,403","$10,172,403",,1 hr 24 min,,Adventure;Animation;Comedy;Family;Fantasy
Mind Game, (2004),"$36,613",,,1 hr 43 min,,Adventure;Animation;Comedy;Drama;Mystery;Romance
Mind the Gap, (2007),"$3,015,008","$3,015,008",,1 hr 43 min,,Comedy;Drama
Mind Body Spirit, (2023),,,,1 hr 25 min,,Horror
Murder on the Orient Express, (1974),"$27,634,716","$24,801",,2 hr 8 min,,Crime;Drama;Mystery;Thriller
Minding the Gap, (2018),"$11,998","$78,330",,1 hr 33 min,,Documentary;Sport
Mindwalk, (1990),"$774,048",,,1 hr 52 min,,Drama
Mind Games, (1989),"$85,085",,,1 hr 33 min,,Crime;Drama;Thriller
On the Line, (2022),"$112,081","$112,081",,1 hr 44 min,R,Thriller
Loose Cannons, (2010),"$15,340,429","$15,340,429",,1 hr 50 min,,Comedy;Drama;Romance
I Spit on Your Grave: Vengeance Is Mine, (2015),"$144,661","$144,661",,1 hr 32 min,,Horror;Thriller
The Italian Job, (2003),"$106,128,601","$69,941,570","$60,000,000",1 hr 51 min,PG-13,Action;Crime;Thriller
Mini Punjab, (2009),"$63,902","$63,902",,2 hr 8 min,,Comedy;Musical;Romance
Mini's First Time, (2006),"$49,034","$107,284","$6,000,000",1 hr 31 min,R,Comedy;Crime;Drama
Mini-Zlatan and Uncle Darling, (2022),"$72,809","$72,809",,1 hr 20 min,,Comedy;Family
Minions, (2015),"$336,045,770","$823,398,892","$74,000,000",1 hr 31 min,PG,Adventure;Animation;Comedy;Crime;Family;Sci-Fi
Minions: The Rise of Gru, (2022),"$370,270,765","$569,933,000",,1 hr 27 min,PG,Adventure;Animation;Comedy;Crime;Family;Sci-Fi
The Ministry of Ungentlemanly Warfare, (2024),"$20,535,053","$9,179,991",,2 hr 2 min,R,Action;Comedy;War
A Doll's House, (1973),"$5,304","$5,304",,1 hr 45 min,,Drama
Operation Finale, (2018),"$17,612,099",,"$24,000,000",2 hr 2 min,PG-13,Biography;Drama;History;Thriller;War
Minnie and Moskowitz, (1971),"$2,296",,,1 hr 54 min,,Comedy;Drama;Romance
Minor Mishaps, (2002),"$118,277","$118,277",,1 hr 49 min,,Comedy;Drama
Minotaur, (2006),"$892,786","$892,786",,1 hr 33 min,R,Action;Adventure;Fantasy;Horror;Sci-Fi;Thriller
Beasts of the Southern Wild, (2012),"$12,795,746","$8,312,000",,1 hr 33 min,PG-13,Adventure;Drama;Fantasy
Godzilla Minus One, (2023),"$57,144,669","$56,531,653",,2 hr 4 min,PG-13,Action;Adventure;Drama;Horror;Sci-Fi
In the Land of Women, (2007),"$11,052,958","$6,509,113",,1 hr 37 min,PG-13,Comedy;Drama;Romance
Mira, (2022),"$5,494,204","$5,494,204",,1 hr 56 min,,Adventure;Drama;Sci-Fi
Chimes at Midnight, (1965),"$126,724",,,1 hr 59 min,,Comedy;Drama;History;War
Miracle at St. Anna, (2008),"$7,919,117","$1,414,537","$45,000,000",2 hr 40 min,R,Action;Drama;War
Miracle in Cell No. 7, (2019),"$173,454","$173,454",,2 hr,,Drama
Miracle in Milan, (1951),$435,$435,,1 hr 37 min,,Comedy;Drama;Fantasy
Last Night in Soho, (2021),"$10,127,625","$12,830,000",,1 hr 56 min,R,Drama;Horror;Mystery;Thriller
The Miracle 2: Love, (2019),"$5,637,997","$5,637,997",,2 hr 9 min,,Drama;History
Miracle Mile, (1988),"$1,145,404",,,1 hr 27 min,,Action;Drama;Romance;Thriller
Flight of the Navigator, (1986),"$18,564,613",,,1 hr 30 min,,Adventure;Comedy;Family;Sci-Fi
The Miracle of Bern, (2003),"$24,816,394","$24,816,394",,1 hr 58 min,,Drama;Sport
Miracle on 1st Street, (2007),"$16,062,566","$16,062,566",,1 hr 53 min,,Comedy;Romance;Sport
