Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
The Fighting Kentuckian, (1949),,,,1 hr 40 min,,Adventure;Drama;Romance;War;Western
The Kentucky Fried Movie, (1977),,,"$600,000",1 hr 23 min,,Comedy
The Ketchup Effect, (2004),"$195,236","$195,236",,1 hr 30 min,,Comedy;Drama
Ghosts of the Ozarks, (2021),"$91,731","$91,731",,1 hr 47 min,,Horror;Mystery;Thriller;Western
The Key Game, (2022),"$1,157,364","$1,157,364",,1 hr 47 min,,Comedy
The Way to Paradise, (2021),"$15,674","$15,674",,1 hr 40 min,,Drama;Thriller
The Clock, (1945),,,,1 hr 30 min,,Comedy;Drama;Romance
Kingdom of the Planet of the Apes, (2024),"$171,130,165","$226,247,985",,2 hr 25 min,PG-13,Action;Adventure;Drama;Sci-Fi;Thriller
The Keys to the House, (2004),"$4,537,451","$4,537,451",,1 hr 51 min,,Drama
The Kick, (2011),"$517,069","$517,069",,1 hr 34 min,PG-13,Action;Sport
The Karate Kid, (1984),"$91,077,276","$42,043",,2 hr 6 min,,Action;Drama;Family;Sport
The Kid from the Big Apple, (2016),"$287,895","$287,895",,2 hr,,Drama;Family
The Apple Dumpling Gang Rides Again, (1979),"$20,931,111",,,1 hr 28 min,,Comedy;Family;Western
The Kid Stays in the Picture, (2002),"$1,439,232","$82,361",,1 hr 33 min,R,Biography;Documentary
The Kid Who Would Be King, (2019),"$16,790,790","$15,350,180",,2 hr,PG,Action;Adventure;Family;Fantasy
The Kid with a Bike, (2011),"$1,470,000","$5,541,798",,1 hr 27 min,PG-13,Drama
The Ruins, (2008),"$17,432,844","$5,385,412",,1 hr 30 min,R,Adventure;Horror;Thriller
The Princess Bride, (1987),"$30,857,814","$45,055",,1 hr 38 min,,Adventure;Comedy;Family;Fantasy;Romance
The American President, (1995),"$60,079,496","$47,800,000",,1 hr 54 min,PG-13,Comedy;Drama;Romance
¡A todo tren! Destino Asturias, (2021),"$9,544,171","$9,544,171",,1 hr 30 min,,Comedy
The Kids Are Alright 2, (2022),"$7,187,470","$7,187,470",,1 hr 24 min,,Comedy
Kill the Irishman, (2011),"$1,188,194",,,1 hr 46 min,R,Biography;Crime;Drama
The Beverly Hillbillies, (1993),"$44,029,386","$13,375,834",,1 hr 32 min,PG,Comedy;Family
The Killer, (2023),"$755,534","$755,534",,1 hr 58 min,R,Action;Adventure;Crime;Drama;Thriller
Killer Elite, (2011),"$25,124,966","$31,959,556","$70,000,000",1 hr 56 min,R,Action;Thriller
The Killer Inside Me, (2010),"$217,277","$3,834,914","$13,000,000",1 hr 49 min,R,Crime;Drama;Mystery;Thriller
The Fable: The Killer Who Doesn't Kill, (2021),"$11,325,545","$11,325,545",,2 hr 13 min,,Action;Comedy;Mystery;Thriller
The Killers, (1946),"$58,222","$58,222",,1 hr 43 min,,Crime;Drama;Film-Noir;Mystery
The Killing, (1956),$203,$203,,1 hr 24 min,,Crime;Drama;Film-Noir;Thriller
The Killing Fields, (1984),"$34,700,291",,,2 hr 21 min,,Biography;Drama;History;War
Killing Ground, (2016),"$80,051","$80,051",,1 hr 28 min,,Horror;Thriller
The Killing Jar, (2010),"$2,339","$2,339",,1 hr 32 min,R,Crime;Mystery;Thriller
The Killing of a Chinese Bookie, (1976),"$16,198","$16,198",,2 hr 15 min,,Crime;Drama;Thriller
The Act of Killing, (2012),"$486,919","$239,405",,1 hr 57 min,,Biography;Crime;Documentary;History;War
The Killing of Angel Street, (1981),$297,,,1 hr 36 min,,Thriller
The Killing of John Lennon, (2006),"$6,975","$46,142",,1 hr 54 min,,Crime;Drama
The Black Phone, (2021),"$90,123,230","$71,317,512",,1 hr 43 min,R,Horror;Mystery;Thriller
The Killing Room, (2009),"$467,220","$467,220",,1 hr 33 min,R,Mystery;Thriller
The Imam, (2005),"$316,029","$316,029",,1 hr 50 min,,Drama
The Killing Time, (1987),"$500,283",,,1 hr 34 min,R,Crime;Drama;Romance;Thriller
The King, (2019),"$126,931","$126,931",,2 hr 20 min,R,Biography;Drama;History;Romance;War
The Nutcracker and the Four Realms, (2018),"$54,858,851","$119,102,218","$120,000,000",1 hr 39 min,PG,Adventure;Family;Fantasy
The King and I, (1956),"$21,300,000","$10,226",,2 hr 13 min,,Biography;Drama;Musical;Romance
The King Is Alive, (2000),"$17,929",,,1 hr 50 min,R,Drama
The King of Comedy, (1982),"$2,536,242",,,1 hr 49 min,,Comedy;Crime;Drama;Thriller
The King of Fighters, (2009),"$502,153","$502,153",,1 hr 33 min,,Action;Sci-Fi;Thriller
