Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
The Bride Wore Black, (1968),"$45,075",$188,,1 hr 47 min,,Crime;Drama;Mystery
Umrao Jaan, (2006),"$485,000","$886,723",,3 hr 8 min,,Drama;Romance
Mirage, (2018),"$17,325,485","$17,325,485",,2 hr 8 min,,Drama;Fantasy;Mystery;Romance;Thriller
A Wrinkle in Time, (2018),"$100,478,608","$32,197,256",,1 hr 49 min,PG,Adventure;Drama;Family;Fantasy;Sci-Fi
Brokedown Palace, (1999),"$10,115,013",,"$25,000,000",1 hr 40 min,PG-13,Drama;Mystery;Thriller
A Room with a View, (1985),"$20,966,644","$74,809","$3,000,000",1 hr 57 min,,Drama;Romance
The Time Traveler's Wife, (2009),"$63,414,846","$37,929,566","$39,000,000",1 hr 47 min,PG-13,Comedy;Drama;Fantasy;Romance;Sci-Fi
Un amore perfetto, (2002),"$426,555","$426,555",,,,Comedy;Romance
Made of Honor, (2008),"$46,012,734","$60,394,938","$40,000,000",1 hr 41 min,PG-13,Comedy;Romance
Serendipity, (2001),"$50,294,317","$27,221,987",,1 hr 30 min,PG-13,Comedy;Romance
Someday This Pain Will Be Useful to You, (2011),"$666,922","$666,922",,1 hr 35 min,,Drama
A Royal Affair, (2012),"$1,546,761","$13,212,236",,2 hr 17 min,R,Biography;Drama;History;Romance
A Couch in New York, (1996),$850,$850,,1 hr 48 min,R,Comedy;Romance
Summertime, (2015),"$35,322","$3,743,616",,1 hr 45 min,,Drama;Romance
Another Man, (2008),"$18,099","$18,099",,1 hr 29 min,,Drama
The Sea Wall, (2008),"$1,550,661","$1,550,661",,1 hr 56 min,,Drama
A Good Year, (2006),"$7,459,300","$34,810,623","$35,000,000",1 hr 57 min,PG-13,Comedy;Drama;Romance
Jack the Bear, (1993),"$5,145,823",,,1 hr 39 min,PG-13,Comedy;Drama
Elf, (2003),"$178,053,220","$51,301,198","$33,000,000",1 hr 37 min,PG,Adventure;Comedy;Family;Fantasy;Romance
At Close Range, (1986),"$2,347,000",,,1 hr 56 min,,Crime;Drama
Murder on a Sunday Morning, (2001),"$5,844","$5,844",,1 hr 51 min,,Crime;Documentary
Memories of a Burning Body, (2024),$502,$502,,1 hr 30 min,,Drama
A Heart in Winter, (1992),"$1,605,437",,,1 hr 45 min,,Drama;Music;Romance
The Catcher Was a Spy, (2018),"$725,223","$228,730",,1 hr 34 min,R,Biography;Drama;War
Stuck in Love., (2012),"$81,071","$896,600",,1 hr 37 min,R,Comedy;Drama;Romance
A Cop, (1972),"$48,040",,,1 hr 38 min,,Crime;Thriller
Huevos: Little Rooster's Egg-cellent Adventure, (2015),"$9,080,818","$16,811,743","$5,300,000",1 hr 38 min,PG-13,Adventure;Animation;Comedy;Family;Fantasy
On the Fringe, (2022),"$1,577,753","$1,577,753",,1 hr 45 min,,Drama
Un giorno della vita, (2011),"$42,575","$42,575",,1 hr 25 min,,Drama
A Different Man, (2024),"$654,254","$622,129",,1 hr 52 min,R,Comedy;Drama;Thriller
Any Given Sunday, (1999),"$75,530,832","$24,700,000","$55,000,000",2 hr 42 min,R,Drama;Sport
A Family Man, (2016),"$1,641,235","$1,641,235",,1 hr 48 min,R,Drama
A Screaming Man, (2010),"$9,862","$184,119",,1 hr 32 min,,Drama
Another Day in Paradise, (1998),"$1,036,818",,,1 hr 41 min,R,Crime;Drama;Thriller
A Very Long Engagement, (2004),"$6,524,389","$62,900,000","$56,600,000",2 hr 13 min,R,Drama;Mystery;Romance;War
A Place in the Sun, (1951),$748,,,2 hr 2 min,,Drama;Romance
Piñero, (2001),"$275,171",,,1 hr 43 min,R,Biography;Drama
Princes of the Desert, (2023),"$1,680,038","$1,680,038",,1 hr 45 min,,Adventure;Family
