Name,Year,Domestic,Foreign,Budget,Runtime,Rating,Genre
The Three Investigators and the Secret of Skeleton Island, (2007),"$7,789,549","$7,789,549",,1 hr 31 min,PG,Adventure;Family;Mystery
Summer Camp, (2015),"$1,490,748","$1,490,748",,1 hr 21 min,R,Horror
The Kid Detective, (2020),"$364,138","$3,752",,1 hr 40 min,R,Comedy;Drama;Mystery
Le Quattro Volte, (2010),"$152,530","$548,804",,1 hr 28 min,,Drama
The Greatest Showman, (2017),"$174,340,174","$294,724,097","$84,000,000",1 hr 45 min,PG,Biography;Drama;Musical
Return to Reason: Four Films by Man Ray, (2023),"$25,490",,,1 hr 10 min,,Music;Romance
Just Married, (2003),"$56,127,162","$45,437,773","$18,000,000",1 hr 35 min,PG-13,Comedy;Romance
The King Is Dancing, (2000),"$3,203","$3,203",,1 hr 55 min,,Drama;History;Music
King of the Gypsies, (1978),"$7,325,177",,,1 hr 52 min,,Crime;Drama
The King and the Mockingbird, (1980),"$27,513","$139,938",,1 hr 23 min,,Animation;Family;Fantasy;Romance
The Roses of the Desert, (2006),"$1,932,676","$1,932,676",,1 hr 42 min,,Comedy;War
Red Sparrow, (2018),"$46,874,505","$104,698,129","$69,000,000",2 hr 20 min,R,Action;Drama;Thriller
Le Samouraï, (1967),"$216,696","$83,226",,1 hr 45 min,,Crime;Drama;Thriller
The Wild Robot, (2024),"$142,605,235","$179,231,000",,1 hr 42 min,PG,Animation;Sci-Fi
The Diving Bell and the Butterfly, (2007),"$6,003,227","$13,776,889",,1 hr 52 min,PG-13,Biography;Drama
Bridge to Terabithia, (2007),"$82,272,442","$55,314,621",,1 hr 36 min,PG,Drama;Family;Fantasy
Eve's Bayou, (1997),"$14,842,388",,,1 hr 48 min,R,Drama
Rendezvous in July, (1949),"$11,321",,,1 hr 52 min,,Comedy;Drama
The Snake, (2006),"$5,836,641","$5,836,641",,1 hr 59 min,,Thriller
Them That Follow, (2019),"$159,218","$13,734",,1 hr 38 min,R,Drama;Horror;Mystery;Thriller
Places in the Heart, (1984),"$34,901,614",,,1 hr 51 min,,Drama
The Witches, (2020),"$203,571","$29,100,000",,1 hr 46 min,PG,Adventure;Comedy;Family;Fantasy;Horror;Mystery
A Walk to Remember, (2002),"$41,281,092","$6,213,824","$11,800,000",1 hr 41 min,PG,Drama;Romance
Time of the Wolf, (2003),"$61,439","$437,710",,1 hr 54 min,R,Drama
Son of God, (2014),"$59,700,064","$11,129,206",,2 hr 18 min,PG-13,Biography;Drama;History
Rumpelstilzchen, (2007),"$21,041","$21,041",,1 hr 22 min,,Family;Fantasy;Romance
Pitfall, (1962),"$30,078","$30,078",,1 hr 37 min,,Crime;Drama;Fantasy
The Hole, (1998),"$2,491","$2,491",,1 hr 35 min,,Drama;Fantasy;Musical;Sci-Fi
Love at First Bite, (1979),"$43,885,000",,,1 hr 36 min,,Comedy;Horror
The Old Gun, (1975),"$2,225","$2,225",,1 hr 43 min,,Drama;Thriller;War
The Red Violin, (1998),"$10,019,109",,"$18,000,000",2 hr 10 min,R,Drama;Music;Mystery;Romance
Eyjafjallajökull, (2013),"$19,226,272","$19,226,272",,1 hr 32 min,,Comedy
Inuk, (2010),"$27,840","$27,840",,1 hr 30 min,,Comedy;Drama
Le voyage en pyjama, (2023),"$140,741","$140,741",,1 hr 29 min,,Comedy;Drama;Romance
The Trip to Panama, (2006),"$2,760,117","$2,760,117",,1 hr 10 min,,Animation;Family
The Hitchhiker's Guide to the Galaxy, (2005),"$51,085,416","$53,393,000","$50,000,000",1 hr 49 min,PG,Adventure;Comedy;Sci-Fi
Le Week-End, (2013),"$2,225,098","$6,427,115",,1 hr 33 min,R,Comedy;Drama;Romance
The 5th Wave, (2016),"$34,916,787","$74,989,585","$38,000,000",1 hr 52 min,PG-13,Action;Adventure;Sci-Fi;Thriller
Thalaivaa, (2013),"$1,654,633","$1,654,633",,,,Action;Drama
Sarikamis Çocuklari, (2017),"$29,945","$29,945",,1 hr 37 min,,Drama;History
League of Gods, (2016),"$181,633","$43,317,133",,1 hr 49 min,PG-13,Action;Fantasy
Lean on Me, (1989),"$31,906,454",,,1 hr 48 min,,Biography;Drama
Lean on Pete, (2017),"$1,163,056","$1,280,528",,2 hr 1 min,R,Adventure;Drama;Sport
Leap!, (2016),"$24,702,560","$84,870,951",,1 hr 29 min,PG,Adventure;Animation;Comedy;Family;Music
Leap of Faith, (1992),"$23,369,283",,,1 hr 48 min,PG-13,Comedy;Drama;Romance
Leap Year, (2010),"$25,918,920","$6,767,580","$19,000,000",1 hr 40 min,PG,Comedy;Romance
Slow Learners, (2015),"$22,272",,,1 hr 36 min,,Comedy;Romance
Learning to Drive, (2014),"$3,447,633","$2,519,883",,1 hr 30 min,R,Comedy;Drama;Romance
Learning to Lie, (2003),"$1,764,411","$1,764,411",,1 hr 27 min,,Comedy;Drama;Romance
Monty Python's Life of Brian, (1979),"$20,206,622","$565,280",,1 hr 34 min,,Comedy
Leatherface: Texas Chainsaw Massacre III, (1990),"$5,765,562",,,1 hr 25 min,,Horror;Thriller
Leave Her to Heaven, (1945),$617,$617,,1 hr 50 min,,Drama;Film-Noir;Romance;Thriller
Leave It to Beaver, (1997),"$10,925,060",,"$15,000,000",1 hr 24 min,PG,Comedy;Family
Leave No Trace, (2018),"$6,046,104","$1,636,824",,1 hr 49 min,PG,Adventure;Drama
The Laughing Policeman, (2009),"$1,520,973","$1,520,973",,2 hr 3 min,,Crime;Drama;Thriller
Leave Me Alone, (2004),"$839,162","$839,162",,1 hr 33 min,,Comedy;Crime
Leaves of Grass, (2009),"$70,066","$964,148","$9,000,000",1 hr 45 min,R,Comedy;Crime;Drama;Thriller
Partir, (2009),"$176,113","$7,379,921",,1 hr 25 min,,Crime;Drama;Romance
Leaving Las Vegas, (1995),"$32,029,928",,,1 hr 51 min,R,Drama;Romance
Leaving Normal, (1992),"$1,514,114",,,1 hr 50 min,R,Comedy;Drama
Lebanon, (2009),"$368,088","$917,920",,1 hr 33 min,R,Drama;War
People Like Us, (2012),"$12,434,778","$124,153","$16,000,000",1 hr 54 min,PG-13,Comedy;Drama
Is the Order a Rabbit?? ~ Dear My Sister ~, (2017),"$2,512,001","$2,512,001",,1 hr,,Animation;Comedy
Lecture 21, (2008),"$338,622","$338,622",,1 hr 32 min,,Drama
Led Zeppelin: Celebration Day, (2012),"$134,753","$134,753",,2 hr 4 min,,Documentary;Music
Adventures of Rufus: The Fantastic Pet, (2020),"$246,359","$246,359",,1 hr 22 min,PG,Adventure;Family;Fantasy
Lee Dae-ro Can't Die, (2005),"$4,736,013","$4,736,013",,1 hr 46 min,,Action;Comedy
The Butler, (2013),"$116,632,095","$60,681,700","$30,000,000",2 hr 12 min,PG-13,Biography;Drama
Beaches, (1988),"$57,041,866",,,2 hr 3 min,,Comedy;Drama;Music
Goliyon Ki Raasleela Ram Leela, (2013),"$2,738,863","$2,101,986",,2 hr 30 min,,Drama;Musical;Romance
Manmadha Leelai, (2022),"$8,124","$8,124",,1 hr 51 min,,Comedy;Romance;Thriller
Elf, (2003),"$178,053,220","$50,444,305","$33,000,000",1 hr 37 min,PG,Adventure;Comedy;Family;Fantasy;Romance
Linkeroever, (2008),"$372,486","$372,486",,1 hr 42 min,,Drama;Horror;Mystery;Thriller
Left Behind, (2014),"$14,019,924","$13,385,972","$16,000,000",1 hr 50 min,PG-13,Action;Fantasy;Sci-Fi;Thriller
Left Behind: The Movie, (2000),"$4,224,065",,,1 hr 40 min,PG-13,Action;Drama;Fantasy;Sci-Fi;Thriller
What We Left Behind: Looking Back at Star Trek: Deep Space Nine, (2018),"$382,457","$51,980",,1 hr 56 min,,Documentary;Sci-Fi
Dead for a Dollar, (2022),"$81,403","$81,403",,1 hr 47 min,R,Action;Drama;Western
The Left-Hand Side of the Fridge, (2000),"$11,180","$11,180",,1 hr 30 min,,Comedy
In Darkness, (2018),,,,1 hr 40 min,,Mystery;Thriller
Left Luggage, (1998),"$1,069,540","$1,041,740",,1 hr 40 min,,Drama
Universal Soldier: Day of Reckoning, (2012),"$5,460","$1,396,847",,1 hr 54 min,R,Action;Horror;Mystery;Sci-Fi;Thriller
Left/Right, (2008),"$85,379","$85,379",,1 hr 35 min,,Comedy
Superman: Legacy, (2025),,,,,,Action;Adventure;Fantasy;Sci-Fi
Legacy of Lies, (2020),"$94,583","$94,583",,1 hr 41 min,R,Thriller
Legal Eagles, (1986),"$49,851,591","$43,300,000",,1 hr 56 min,,Comedy;Crime;Romance
Legally Blonde, (2001),"$96,520,674","$45,254,005","$18,000,000",1 hr 36 min,,Comedy;Romance
Legend No. 17, (2013),"$16,096,860","$16,096,860",,2 hr 14 min,,Biography;Drama;Sport
Fearless, (2006),"$24,633,730","$43,439,118",,1 hr 44 min,PG-13,Action;Biography;Drama
The Legend of Tarzan, (2016),"$126,643,061","$230,600,000","$180,000,000",1 hr 50 min,PG-13,Action;Adventure;Drama;Fantasy;Romance
Secrets of the Heavenly Book, (1983),"$2,300,000","$2,300,000",,1 hr 29 min,,Animation
Sinbad: Legend of the Seven Seas, (2003),"$26,483,452","$54,289,625","$60,000,000",1 hr 28 min,PG,Adventure;Animation;Comedy;Family;Fantasy
Mummys Island, (2006),"$291,243","$291,243",,1 hr 55 min,,Action;Adventure;Fantasy
Kikoriki: Legend of the Golden Dragon, (2016),"$4,267,406","$4,267,406",,1 hr 19 min,PG,Adventure;Animation;Comedy;Family;Fantasy
Legend of the Demon Cat, (2017),"$97,051,623","$97,051,623",,2 hr 9 min,,Adventure;Drama;Family;Fantasy
Legend of the Fist: The Return of Chen Zhen, (2010),"$50,433","$27,340,245",,1 hr 46 min,R,Action;Drama;History
King Arthur: Legend of the Sword, (2017),"$39,175,066","$110,000,000","$175,000,000",2 hr 6 min,PG-13,Action;Adventure;Drama;Fantasy
Legend of the Lost, (1957),,,,1 hr 49 min,,Adventure;Drama
Onigamiden - Legend of the Millennium Dragon, (2011),"$1,000,626","$1,000,626",,1 hr 40 min,PG-13,Adventure;Animation;Family;Fantasy
The Seed of the Sacred Fig, (2024),"$52,276","$4,041,265",,2 hr 48 min,PG-13,Crime;Drama;Thriller
The Wolf of Wall Street, (2013),"$116,900,694","$289,977,539","$100,000,000",3 hr,R,Biography;Comedy;Crime;Drama
Legend of the Mountain, (1979),"$7,640",,,3 hr 12 min,,Fantasy;Horror;Mystery
Legendary, (2010),"$200,393",,,1 hr 47 min,PG-13,Drama;Sport
Legendary Amazons, (2011),"$248,280","$248,280",,1 hr 47 min,,Action
Legendary Assassin, (2008),"$1,317,019","$1,317,019",,1 hr 29 min,R,Action;Crime;Thriller
Legends of the Fall, (1994),"$66,638,883","$94,000,000",,2 hr 13 min,R,Drama;Romance;War;Western
Legends of Oz: Dorothy's Return, (2013),"$8,462,347","$13,293,071","$70,000,000",1 hr 28 min,PG,Adventure;Animation;Family;Fantasy;Musical
Thor: Legend of the Magical Hammer, (2011),"$7,600,557","$7,600,557",,1 hr 19 min,PG,Adventure;Animation;Comedy;Family;Fantasy
ICU: Ghost College of Fine Arts, (2008),"$67,477","$67,477",,1 hr 50 min,,Comedy
Shaun of the Dead, (2004),"$14,332,569","$17,174,928",,1 hr 39 min,R,Comedy;Horror
Still of the Night, (1982),"$5,979,947",,,1 hr 33 min,,Crime;Drama;Mystery
The Legionnaire, (2021),"$15,545","$15,545",,1 hr 22 min,,Action;Drama
Indiana Jones and the Raiders of the Lost Ark, (1981),"$248,159,971","$141,766,000","$18,000,000",1 hr 55 min,PG,Action;Adventure
The Lego Movie, (2014),"$257,966,122","$212,793,565","$60,000,000",1 hr 40 min,PG,Action;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi
Star Wars: Episode III - Revenge of the Sith, (2005),"$380,270,577","$469,765,058","$113,000,000",2 hr 20 min,PG-13,Action;Adventure;Fantasy;Sci-Fi
Lego: The Adventures of Clutch Powers, (2010),"$69,229","$69,229",,1 hr 18 min,,Action;Adventure;Animation;Comedy;Family;Fantasy;Sci-Fi
The Great Escape, (1963),"$228,785","$228,785",,2 hr 52 min,,Adventure;Drama;Thriller;War
The Dance of Reality, (2013),"$293,680","$264,956",,2 hr 13 min,,Biography;Drama;Fantasy
The Legacy, (1978),"$11,364,985",,"$2,500,000",1 hr 42 min,,Horror
Mother Elif, (2022),"$128,265","$128,265",,2 hr 3 min,,Drama
Leila, (1997),"$5,294","$2,937",,1 hr 42 min,,Drama;Family;Romance
Far from Heaven, (2002),"$15,901,849","$13,126,065","$13,500,000",1 hr 47 min,PG-13,Drama;Romance
The Cure, (1995),"$2,568,425",,,1 hr 37 min,PG-13,Adventure;Drama
Good Bye Lenin!, (2003),"$4,064,200","$75,252,757",,2 hr 1 min,R,Comedy;Drama;Romance
Selam, (2013),"$7,728,852","$7,728,852",,1 hr 44 min,,Drama;Romance
Lemming, (2005),"$81,698","$3,498,319",,2 hr 9 min,,Drama;Mystery;Thriller
Lemmy, (2010),$131,$131,,1 hr 56 min,,Biography;Documentary;Music
Lemon Tree, (2008),"$569,672","$6,817,816",,1 hr 46 min,,Drama;War
A Series of Unfortunate Events, (2004),"$118,634,549","$92,833,686","$140,000,000",1 hr 48 min,PG,Adventure;Comedy;Family;Fantasy
Lord of War, (2005),"$24,149,632","$48,467,436","$50,000,000",2 hr 2 min,R,Crime;Drama
The Cure: Anniversary 1978-2018 Live in Hyde Park, (2019),"$378,405","$213,499",,2 hr 17 min,,Documentary;Music
Taken, (2008),"$145,000,989","$81,836,771","$25,000,000",1 hr 30 min,PG-13,Action;Crime;Thriller
Lenny, (1974),,,,1 hr 51 min,,Biography;Drama
The Secret of NIMH, (1982),"$14,665,733",,,1 hr 22 min,,Adventure;Animation;Drama;Family;Fantasy;Mystery;Sci-Fi
Leo, (2023),"$6,978,436","$6,978,436",,2 hr 44 min,,Action;Crime;Drama;Thriller
Leo and Loree, (1980),"$517,988",,,1 hr 37 min,,Comedy;Romance
Venom: The Last Dance, (2024),"$138,213,700","$330,300,000",,1 hr 50 min,PG-13,Action;Adventure;Sci-Fi;Thriller
King of the Jungle, (2000),"$27,841",,,1 hr 39 min,R,Crime;Drama;Thriller
Squealer, (2023),"$17,463","$17,463",,1 hr 40 min,R,Action;Horror;Thriller
Leonard Cohen: I'm Your Man, (2005),"$1,044,254","$354,170",,1 hr 45 min,PG-13,Biography;Documentary;Music
Leonard Part 6, (1987),"$4,615,255",,,1 hr 25 min,,Action;Comedy;Sci-Fi
Léon: The Professional, (1994),"$19,501,238","$776,145",,1 hr 50 min,R,Action;Crime;Drama;Thriller
Leonie, (2010),"$53,692","$1,403,059",,1 hr 42 min,PG-13,Biography;Drama
Ashes in the Snow, (2018),"$1,557,172","$1,557,172",,1 hr 38 min,,Drama;History;Romance;War
Lepel, (2005),"$1,488,939","$1,488,939",,1 hr 36 min,,Drama
The Home of Dark Butterflies, (2008),"$1,406,016","$1,406,016",,1 hr 48 min,,Drama
Leprechaun, (1993),"$8,556,940",,,1 hr 32 min,R,Comedy;Fantasy;Horror
Leprechaun 2, (1994),"$2,260,622",,,1 hr 25 min,R,Comedy;Fantasy;Horror
Boyz n the Hood, (1991),"$57,504,069","$25,001","$6,500,000",1 hr 52 min,R,Crime;Drama
All Good 2: Back to Square One, (2014),"$2,076,076","$2,076,076",,1 hr 38 min,,Comedy
Leroy, (2007),"$290,381","$290,381",,1 hr 29 min,,Comedy;Drama;Romance
The 3 L'il Pigs, (2007),"$782,135","$782,135",,2 hr 4 min,,Comedy
Only Lovers Left Alive, (2013),"$1,879,534","$5,821,437","$7,000,000",2 hr 3 min,R,Comedy;Drama;Fantasy;Horror;Romance
From Afar, (2015),"$30,169","$120,274",,1 hr 33 min,,Drama;Romance
The Lovers on the Bridge, (1991),"$29,679",,,2 hr 5 min,R,Drama;Romance
The Romance of Astrea and Celadon, (2007),"$386,621","$386,621",,1 hr 49 min,,Comedy;Drama;Romance
The Boondock Saints, (1999),"$30,471",,"$6,000,000",1 hr 48 min,R,Action;Crime;Thriller
The Exterminating Angels, (2006),"$23,308","$130,902",,1 hr 40 min,,Drama;Fantasy
The Adventures of Baron Munchausen, (1988),"$8,083,123",,"$46,630,000",2 hr 6 min,,Adventure;Comedy;Fantasy
The Chipmunk Adventure, (1987),"$6,804,312",,,1 hr 18 min,,Adventure;Animation;Comedy;Family;Fantasy;Musical
Bad Girls, (1994),"$15,240,435",,,1 hr 39 min,R,Action;Adventure;Drama;Romance;Western
Les blagues de Toto, (2020),"$8,859,185","$8,859,185",,1 hr 24 min,,Comedy;Family
The Nice Guys, (2016),"$36,261,763","$35,000,000","$50,000,000",1 hr 56 min,R,Action;Comedy;Crime;Thriller
Les Boys, (1997),"$4,602,341",,,1 hr 47 min,,Comedy;Drama;Sport
French Fried Vacation 3: Friends Forever, (2006),"$84,152,064","$84,152,064",,1 hr 37 min,,Comedy
Star Wars: Episode IV - A New Hope, (1977),"$460,998,507","$314,400,000","$11,000,000",2 hr 1 min,PG,Action;Adventure;Fantasy;Sci-Fi
