Name,Year,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
mission: impossible ii,2000,215409889.0,39.4,330978219.0,60.6,546388108.0
gladiator,2000,187705427.0,40.8,272878533.0,59.2,460583960.0
cast away,2000,233632142.0,54.4,196000000.0,45.6,429632142.0
what women want,2000,182811707.0,48.9,191300000.0,51.1,374111707.0
dinosaur,2000,137748063.0,39.4,212074702.0,60.6,349822765.0
how the grinch stole christmas,2000,260745620.0,75.4,85096578.0,24.6,345842198.0
meet the parents,2000,166244045.0,50.3,164200000.0,49.7,330444045.0
the perfect storm,2000,182618434.0,55.6,146100000.0,44.4,328718434.0
x0men,2000,157299718.0,53.1,139039810.0,46.9,296339528.0
what lies beneath,2000,155464351.0,53.3,135956000.0,46.7,291420351.0
scary movie,2000,157019771.0,56.5,121000000.0,43.5,278019771.0
charlie's angels,2000,125305545.0,47.4,138800000.0,52.6,264105545.0
erin brockovich,2000,125595205.0,49.0,130676081.0,51.0,256271286.0
unbreakable,2000,95011339.0,38.3,153106782.0,61.7,248118121.0
gone in 60 seconds,2000,101648571.0,42.9,135553728.0,57.1,237202299.0
chicken run,2000,106834564.0,47.5,118000000.0,52.5,224834564.0
vertical limit,2000,69243859.0,32.1,146420000.0,67.9,215663859.0
the patriot,2000,113330342.0,52.6,101964000.0,47.4,215294342.0
"crouching tiger, hidden dragon",2000,128078872.0,60.0,85446864.0,40.0,213525736.0
miss congeniality,2000,106807667.0,50.2,105935053.0,49.8,212742720.0
traffic,2000,124115725.0,59.8,83400000.0,40.2,207515725.0
hollow man,2000,73209340.0,38.5,117004115.0,61.5,190213455.0
102 dalmatians,2000,66957026.0,36.5,116654745.0,63.5,183611771.0
big momma's house,2000,117559438.0,67.6,56400000.0,32.4,173959438.0
the emperor's new groove,2000,89302687.0,52.7,80025000.0,47.3,169327687.0
nutty professor ii: the klumps,2000,123309890.0,74.1,43030000.0,25.9,166339890.0
scream 3,2000,89143175.0,55.1,72691101.0,44.9,161834276.0
chocolat,2000,71509363.0,46.8,81190583.0,53.2,152699946.0
"me, myself & irene",2000,90570999.0,60.7,58700000.0,39.3,149270999.0
the beach,2000,39785027.0,27.6,104271846.0,72.4,144056873.0
remember the titans,2000,115654751.0,84.6,21051932.0,15.4,136706683.0
pokémon the movie 2000,2000,43758684.0,32.7,90190586.0,67.3,133949270.0
space cowboys,2000,90464773.0,70.2,38419359.0,29.8,128884132.0
u0571,2000,77122415.0,60.4,50544000.0,39.6,127666415.0
the family man,2000,75793305.0,60.8,48951778.0,39.2,124745083.0
road trip,2000,68540777.0,57.2,51213501.0,42.8,119754278.0
coyote ugly,2000,60786269.0,53.4,53130205.0,46.6,113916474.0
final destination,2000,53331147.0,47.2,59549147.0,52.8,112880294.0
the exorcist 2000 director's cut,2000,39671011.0,35.4,72382055.0,64.6,112053066.0
mission to mars,2000,60883407.0,54.9,50100000.0,45.1,110983407.0
the kid,2000,69691949.0,63.2,40625631.0,36.8,110317580.0
billy elliot,2000,21995263.0,20.1,87285000.0,79.9,109280263.0
shaft,2000,70334258.0,65.6,36862240.0,34.4,107196498.0
the whole nine yards,2000,57262492.0,53.8,49109159.0,46.2,106371651.0
the cell,2000,61334059.0,58.9,42821784.0,41.1,104155843.0
rugrats in paris,2000,76507756.0,74.1,26783375.0,25.9,103291131.0
shanghai noon,2000,56937502.0,57.4,42336965.0,42.6,99274467.0
the tigger movie,2000,45554533.0,47.4,50605267.0,52.6,96159800.0
the 6th day,2000,34604280.0,36.0,61481197.0,64.0,96085477.0
romeo must die,2000,55973336.0,61.5,35063424.0,38.5,91036760.0
fantasia 2000,2000,60655420.0,66.7,30219150.0,33.3,90874570.0
autumn in new york,2000,37761915.0,41.6,52964753.0,58.4,90726668.0
bring it on,2000,68379000.0,75.6,22070929.0,24.4,90449929.0
bedazzled,2000,37886980.0,41.9,52496228.0,58.1,90383208.0
snatch,2000,30328156.0,36.3,53229716.0,63.7,83557872.0
men of honor,2000,48818921.0,59.3,33524574.0,40.7,82343495.0
finding forrester,2000,51804714.0,64.7,28245050.0,35.3,80049764.0
the road to el dorado,2000,50863742.0,66.5,25568985.0,33.5,76432727.0
"dude, where's my car?",2000,46729800.0,63.9,26450923.0,36.1,73180723.0
"o brother, where art thou?",2000,45512588.0,63.3,26355739.0,36.7,71868327.0
rules of engagement,2000,61335230.0,85.5,10397073.0,14.5,71732303.0
frequency,2000,45010278.0,66.1,23095967.0,33.9,68106245.0
thirteen days,2000,34592089.0,52.0,31987801.0,48.0,66579890.0
proof of life,2000,32598931.0,51.9,30162074.0,48.1,62761005.0
snow day,2000,60020107.0,96.1,2444624.0,3.9,62464731.0
28 days,2000,37170488.0,59.8,25028457.0,40.2,62198945.0
taxi 2,2000,626164.0,1.0,60100000.0,99.0,60726164.0
keeping the faith,2000,37047880.0,61.8,22897303.0,38.2,59945183.0
next friday,2000,57328603.0,95.8,2498725.0,4.2,59827328.0
the flintstones in viva rock vegas,2000,35268275.0,59.3,24200000.0,40.7,59468275.0
little nicky,2000,39464775.0,67.7,18827520.0,32.3,58292295.0
pay it forward,2000,33519628.0,60.2,22187783.0,39.8,55707411.0
bounce,2000,36805288.0,68.9,16620004.0,31.1,53425292.0
pitch black,2000,39240659.0,73.8,13947000.0,26.2,53187659.0
hanging up,2000,36050230.0,69.5,15829814.0,30.5,51880044.0
the skulls,2000,35046120.0,69.0,15756000.0,31.0,50802120.0
the replacements,2000,44737059.0,89.4,5317452.0,10.6,50054511.0
book of shadows: blair witch 2,2000,26437094.0,55.4,21300000.0,44.6,47737094.0
almost famous,2000,32534850.0,68.7,14848839.0,31.3,47383689.0
the watcher,2000,28946615.0,61.2,18321214.0,38.8,47267829.0
high fidelity,2000,27287137.0,57.9,19839158.0,42.1,47126295.0
dracula 2000,2000,33022767.0,70.2,14030858.0,29.8,47053625.0
the gift,2000,12008642.0,26.9,32558964.0,73.1,44567606.0
where the heart is,2000,33772838.0,82.6,7090880.0,17.4,40863718.0
bless the child,2000,29381494.0,72.6,11061516.0,27.4,40443010.0
the art of war,2000,30208599.0,74.8,10191826.0,25.2,40400425.0
dancer in the dark,2000,4184036.0,10.5,35847843.0,89.5,40031879.0
the legend of bagger vance,2000,30919168.0,78.4,8540259.0,21.6,39459427.0
urban legends: final cut,2000,21468807.0,55.7,17105555.0,44.3,38574362.0
the original kings of comedy,2000,38182790.0,100.0,0.0,0.0,38182790.0
titan a.e.,2000,22753426.0,61.9,14001208.0,38.1,36754634.0
return to me,2000,32722798.0,89.4,3887197.0,10.6,36609995.0
my dog skip,2000,34134641.0,96.0,1413120.0,4.0,35547761.0
the adventures of rocky & bullwinkle,2000,26005820.0,74.0,9129000.0,26.0,35134820.0
american psycho,2000,15070285.0,44.0,19196279.0,56.0,34266564.0
dungeons & dragons,2000,15391970.0,45.3,18586724.0,54.7,33978694.0
red planet,2000,17480890.0,52.2,15983079.0,47.8,33463969.0
wonder boys,2000,19393557.0,58.0,14033031.0,42.0,33426588.0
reindeer games,2000,23368995.0,72.6,8799975.0,27.4,32168970.0
lost souls,2000,16815253.0,53.6,14540657.0,46.4,31355910.0
small time crooks,2000,17266359.0,57.7,12668118.0,42.3,29934477.0
battlefield earth,2000,21471685.0,72.2,8253978.0,27.8,29725663.0
nurse betty,2000,25170054.0,85.7,4190346.0,14.3,29360400.0
boiler room,2000,16970581.0,59.0,11809674.0,41.0,28780255.0
the little vampire,2000,13572400.0,48.5,14393465.0,51.5,27965865.0
love & basketball,2000,27459615.0,99.0,268503.0,1.0,27728118.0
cirque du soleil: journey of man,2000,15627434.0,56.7,11910925.0,43.3,27538359.0
center stage,2000,17200925.0,65.2,9185016.0,34.8,26385941.0
saving grace,2000,12178602.0,46.3,14151880.0,53.7,26330482.0
boys and girls,2000,21799652.0,84.3,4050963.0,15.7,25850615.0
down to you,2000,20069008.0,82.2,4350906.0,17.8,24419914.0
the next best thing,2000,14990582.0,61.5,9372190.0,38.5,24362772.0
dr. t & the women,2000,13113041.0,57.4,9731250.0,42.6,22844291.0
the contender,2000,17872723.0,79.9,4489088.0,20.1,22361811.0
michael jordan to the max,2000,18650521.0,87.7,2618011.0,12.3,21268532.0
best in show,2000,18715392.0,90.0,2074164.0,10.0,20789556.0
thomas and the magic railroad,2000,15933506.0,80.7,3814503.0,19.3,19748009.0
get carter,2000,14967182.0,77.1,4445811.0,22.9,19412993.0
the ninth gate,2000,18661336.0,100.0,0.0,0.0,18661336.0
loser,2000,15618626.0,84.9,2786080.0,15.1,18404706.0
all the pretty horses,2000,15540353.0,85.7,2593142.0,14.3,18133495.0
quills,2000,7065332.0,39.3,10923895.0,60.7,17989227.0
cyberworld,2000,11253900.0,67.6,5400000.0,32.4,16653900.0
digimon: the movie,2000,9631153.0,57.9,7012038.0,42.1,16643191.0
the dish,2000,2552992.0,15.4,14022082.0,84.6,16575074.0
italian for beginners,2000,4544753.0,27.8,11804815.0,72.2,16349568.0
drowning mona,2000,15506764.0,97.5,400000.0,2.5,15906764.0
highlander: endgame,2000,12811858.0,80.9,3031750.0,19.1,15843608.0
bait,2000,15325127.0,99.1,146842.0,0.9,15471969.0
supernova,2000,14230455.0,96.0,597626.0,4.0,14828081.0
malena,2000,3448233.0,23.8,11045051.0,76.2,14493284.0
i dreamed of africa,2000,6651522.0,46.2,7748805.0,53.8,14400327.0
what planet are you from?,2000,6291602.0,44.5,7854075.0,55.5,14145677.0
the ladies man,2000,13616610.0,99.1,126602.0,0.9,13743212.0
solarmax,2000,13400161.0,100.0,0.0,0.0,13400161.0
the crew,2000,13023075.0,99.4,82778.0,0.6,13105853.0
the way of the gun,2000,6055661.0,46.3,7014079.0,53.7,13069740.0
in the mood for love,2000,2738980.0,21.3,10115973.0,78.7,12854953.0
gossip,2000,5108820.0,40.6,7482450.0,59.4,12591270.0
ready to rumble,2000,12394327.0,99.5,58035.0,0.5,12452362.0
drunken master ii,2000,11555430.0,100.0,0.0,0.0,11555430.0
you can count on me,2000,9416804.0,83.8,1825717.0,16.2,11242521.0
shadow of the vampire,2000,8293784.0,74.3,2861430.0,25.7,11155214.0
lucky numbers,2000,10042516.0,92.2,847706.0,7.8,10890222.0
here on earth,2000,10522168.0,96.8,350980.0,3.2,10873148.0
pollock,2000,8598593.0,81.4,1960377.0,18.6,10558970.0
anatomy,2000,9660.0,0.1,10492298.0,99.9,10501958.0
the virgin suicides,2000,4906229.0,47.1,5503148.0,52.9,10409377.0
woman on top,2000,5020111.0,49.2,5174163.0,50.8,10194274.0
godzilla 2000,2000,10037390.0,100.0,0.0,0.0,10037390.0
whatever it takes,2000,8745680.0,88.3,1156435.0,11.7,9902115.0
3 strikes,2000,9832166.0,100.0,0.0,0.0,9832166.0
bread and tulips,2000,5318679.0,54.7,4401169.0,45.3,9719848.0
ghost dog: the way of the samurai,2000,3308029.0,35.3,6072444.0,64.7,9380473.0
state and main,2000,6944471.0,75.4,2261808.0,24.6,9206279.0
before night falls,2000,4242892.0,49.8,4284625.0,50.2,8527517.0
butterfly,2000,2092682.0,27.1,5641212.0,72.9,7733894.0
ants in the pants,2000,,,7625967.0,,7625967.0
requiem for a dream,2000,3635482.0,49.2,3754626.0,50.8,7390108.0
where the money is,2000,5661798.0,78.2,1581871.0,21.8,7243669.0
screwed,2000,7027345.0,97.6,174356.0,2.4,7201701.0
widow of st. pierre,2000,3193889.0,44.4,4000000.0,55.6,7193889.0
croupier,2000,6201143.0,87.6,873925.0,12.4,7075068.0
duets,2000,4739023.0,71.6,1881219.0,28.4,6620242.0
now or never,2000,,,5995963.0,,5995963.0
black & white,2000,5277299.0,95.2,264132.0,4.8,5541431.0
the in crowd,2000,5280035.0,100.0,0.0,0.0,5280035.0
the house of mirth,2000,3043284.0,58.9,2121120.0,41.1,5164404.0
otto 0 der katastrofenfilm,2000,,,5058355.0,,5058355.0
whipped,2000,4159986.0,87.1,615023.0,12.9,4775009.0
held up,2000,4705631.0,100.0,0.0,0.0,4705631.0
the jungle book 2000 re0release,2000,,,4466472.0,,4466472.0
the tao of steve,2000,4342203.0,98.6,63827.0,1.4,4406030.0
mohabbatein,2000,1070000.0,25.0,3209351.0,75.0,4279351.0
east is east,2000,4177818.0,100.0,0.0,0.0,4177818.0
bossa nova,2000,1823297.0,44.8,2245964.0,55.2,4069261.0
erkan & stefan,2000,,,4026949.0,,4026949.0
pettson & findus 0 katten och gubbens år,2000,,,3920489.0,,3920489.0
up at the villa,2000,2933161.0,78.4,806952.0,21.6,3740113.0
the big kahuna,2000,3165544.0,84.9,563344.0,15.1,3728888.0
price of glory,2000,3440228.0,96.9,108328.0,3.1,3548556.0
gun shy,2000,1638202.0,50.9,1583078.0,49.1,3221280.0
beautiful,2000,3157348.0,99.6,12582.0,0.4,3169930.0
isn't she great,2000,2962465.0,98.6,40831.0,1.4,3003296.0
no more school,2000,,,2870533.0,,2870533.0
flickering lights,2000,,,2760019.0,,2760019.0
the color of paradise,2000,1817216.0,66.7,907379.0,33.3,2724595.0
god's army,2000,2637726.0,100.0,0.0,0.0,2637726.0
but i'm a cheerleader,2000,2205627.0,85.0,389589.0,15.0,2595216.0
bamboozled,2000,2274979.0,92.3,188671.0,7.7,2463650.0
east/west,2000,2321029.0,100.0,0.0,0.0,2321029.0
shower,2000,1157764.0,53.8,993165.0,46.2,2150929.0
left luggage,2000,1069540.0,50.7,1041740.0,49.3,2111280.0
blood simple 2000 re0release,2000,1701855.0,82.3,366846.0,17.7,2068701.0
marlene,2000,,,2061924.0,,2061924.0
hamlet,2000,1577287.0,77.1,469146.0,22.9,2046433.0
the broken hearts club: a romantic comedy,2000,1746585.0,86.5,272536.0,13.5,2019121.0
cecil b. demented,2000,1284646.0,65.5,676898.0,34.5,1961544.0
the life and times of hank greenberg,2000,1712385.0,100.0,0.0,0.0,1712385.0
the girl on the bridge,2000,1708839.0,100.0,0.0,0.0,1708839.0
harry potter and the sorcerer's stone,2001,317575550.0,32.6,657179821.0,67.4,974755371.0
the lord of the rings: the fellowship of the ring,2001,313364114.0,36.1,555021246.0,63.9,868385360.0
"monsters, inc.",2001,255873250.0,48.4,272900000.0,51.6,528773250.0
shrek,2001,267851831.0,55.3,216744207.0,44.7,484596038.0
ocean's eleven,2001,183417150.0,40.7,267300000.0,59.3,450717150.0
pearl harbor,2001,198542554.0,44.2,250678391.0,55.8,449220945.0
the mummy returns,2001,202019785.0,46.7,230993489.0,53.3,433013274.0
jurassic park iii,2001,181171875.0,49.1,187608934.0,50.9,368780809.0
planet of the apes,2001,180011740.0,49.7,182200000.0,50.3,362211740.0
hannibal,2001,165092268.0,46.9,186600000.0,53.1,351692268.0
rush hour 2,2001,226164286.0,65.1,121161516.0,34.9,347325802.0
a beautiful mind,2001,170742341.0,54.5,142800000.0,45.5,313542341.0
american pie 2,2001,145103595.0,50.5,142450000.0,49.5,287553595.0
bridget jones's diary,2001,71543427.0,25.4,210386368.0,74.6,281929795.0
spirited away,2001,10055859.0,3.7,264869236.0,96.3,274925095.0
lara croft: tomb raider,2001,131168070.0,47.7,143535270.0,52.3,274703340.0
a.i. artificial intelligence,2001,78616689.0,33.3,157309863.0,66.7,235926552.0
the others,2001,96522687.0,46.0,113424350.0,54.0,209947037.0
the fast and the furious,2001,144533925.0,69.7,62750000.0,30.3,207283925.0
vanilla sky,2001,100618344.0,49.5,102769997.0,50.5,203388341.0
cats & dogs,2001,93385515.0,46.5,107301977.0,53.5,200687492.0
atlantis: the lost empire,2001,84056472.0,45.2,101997253.0,54.8,186053725.0
moulin rouge!,2001,57386607.0,32.0,121826827.0,68.0,179213434.0
dr. dolittle 2,2001,112952899.0,64.1,63151445.0,35.9,176104344.0
amélie,2001,33225499.0,19.1,140696455.0,80.9,173921954.0
black hawk down,2001,108638745.0,62.8,64350906.0,37.2,172989651.0
the princess diaries,2001,108248956.0,65.5,57086197.0,34.5,165335153.0
spy kids,2001,112719001.0,76.2,35215179.0,23.8,147934180.0
the mexican,2001,66845033.0,45.2,81000000.0,54.8,147845033.0
swordfish,2001,69772969.0,47.4,77307444.0,52.6,147080413.0
spy game,2001,62362560.0,43.6,80687000.0,56.4,143049560.0
legally blonde,2001,96520674.0,68.1,45254005.0,31.9,141774679.0
scary movie 2,2001,71308997.0,50.5,69911681.0,49.5,141220678.0
shallow hal,2001,70839203.0,50.2,70230657.0,49.8,141069860.0
america's sweethearts,2001,93607673.0,67.7,44700000.0,32.3,138307673.0
save the last dance,2001,91057006.0,69.1,40649803.0,30.9,131706809.0
a knight's tale,2001,56569702.0,48.1,60917771.0,51.9,117487473.0
the score,2001,71107711.0,62.6,42472207.0,37.4,113579918.0
along came a spider,2001,74078174.0,70.4,31100387.0,29.6,105178561.0
training day,2001,76631907.0,73.1,28244326.0,26.9,104876233.0
jimmy neutron: boy genius,2001,80936232.0,78.6,22056304.0,21.4,102992536.0
don't say a word,2001,55001642.0,55.0,45018450.0,45.0,100020092.0
evolution,2001,38345494.0,39.0,60030798.0,61.0,98376292.0
i am sam,2001,40311852.0,41.2,57506287.0,58.8,97818139.0
enemy at the gates,2001,51401758.0,53.0,45574512.0,47.0,96976270.0
the wedding planner,2001,60400856.0,63.8,34327673.0,36.2,94728529.0
behind enemy lines,2001,58856790.0,64.1,32896412.0,35.9,91753202.0
gosford park,2001,41308615.0,47.1,46445429.0,52.9,87754044.0
ali,2001,58203105.0,66.4,29510720.0,33.6,87713825.0
rat race,2001,56618055.0,66.2,28880479.0,33.8,85498534.0
final fantasy: the spirits within,2001,32131830.0,37.7,53000000.0,62.3,85131830.0
the animal,2001,57743062.0,68.1,27029680.0,31.9,84772742.0
blow,2001,52990775.0,63.6,30291521.0,36.4,83282296.0
exit wounds,2001,51758599.0,64.7,28200000.0,35.3,79958599.0
serendipity,2001,50294317.0,64.9,27221987.0,35.1,77516304.0
kate & leopold,2001,47121859.0,62.0,28897189.0,38.0,76019048.0
manitou's shoe,2001,,,75482094.0,,75482094.0
from hell,2001,31602566.0,42.4,42955549.0,57.6,74558115.0
the one,2001,43905746.0,60.4,28783380.0,39.6,72689126.0
the royal tenenbaums,2001,52364010.0,73.3,19077240.0,26.7,71441250.0
down to earth,2001,64186502.0,90.2,7000000.0,9.8,71186502.0
brotherhood of the wolf,2001,11260096.0,15.9,59492808.0,84.1,70752904.0
thir13en ghosts,2001,41867960.0,61.1,26600000.0,38.9,68467960.0
pokémon 3 the movie: spell of the unown,2001,17052128.0,24.9,51359147.0,75.1,68411275.0
bandits,2001,41575141.0,61.5,26056762.0,38.5,67631903.0
not another teen movie,2001,38252284.0,57.5,28216048.0,42.5,66468332.0
sweet november,2001,25288103.0,38.5,40466125.0,61.5,65754228.0
k0pax,2001,50338485.0,77.4,14663000.0,22.6,65001485.0
kiss of the dragon,2001,36845124.0,57.2,27592723.0,42.8,64437847.0
captain corelli's mandolin,2001,25543895.0,41.1,36569000.0,58.9,62112895.0
zoolander,2001,45172250.0,74.3,15608731.0,25.7,60780981.0
the crimson rivers,2001,594966.0,1.0,59500000.0,99.0,60094966.0
jeepers creepers,2001,37904175.0,64.0,21313614.0,36.0,59217789.0
heartbreakers,2001,40336607.0,69.8,17419801.0,30.2,57756408.0
15 minutes,2001,24403552.0,43.3,31956428.0,56.7,56359980.0
driven,2001,32720065.0,59.8,22024673.0,40.2,54744738.0
domestic disturbance,2001,45246095.0,83.4,9003199.0,16.6,54249294.0
the closet,2001,6678894.0,13.3,43425851.0,86.7,50104745.0
monster's ball,2001,31273922.0,69.6,13635564.0,30.4,44909486.0
recess: school's out,2001,36706141.0,82.6,7754709.0,17.4,44460850.0
hardball,2001,40222729.0,91.2,3879660.0,8.8,44102389.0
in the bedroom,2001,35930604.0,82.8,7438175.0,17.2,43368779.0
see spot run,2001,33357476.0,77.5,9700076.0,22.5,43057552.0
shaolin soccer,2001,489600.0,1.1,42287160.0,98.9,42776760.0
black knight,2001,33426971.0,83.6,6549264.0,16.4,39976235.0
memento,2001,25544867.0,64.3,14178229.0,35.7,39723096.0
crocodile dundee in los angeles,2001,25635682.0,65.0,13802992.0,35.0,39438674.0
haunted castle,2001,13651656.0,34.9,25441510.0,65.1,39093166.0
someone like you,2001,27343067.0,70.7,11346873.0,29.3,38689940.0
what's the worst that could happen?,2001,32269834.0,83.9,6194297.0,16.1,38464131.0
the majestic,2001,27807266.0,74.5,9510292.0,25.5,37317558.0
valentine,2001,20384136.0,55.6,16300000.0,44.4,36684136.0
joy ride,2001,21974919.0,60.0,14667919.0,40.0,36642838.0
riding in cars with boys,2001,30165536.0,84.4,5577772.0,15.6,35743308.0
original sin,2001,16534221.0,46.7,18868099.0,53.3,35402320.0
jay and silent bob strike back,2001,30085147.0,89.0,3703014.0,11.0,33788161.0
and your mother too,2001,13839658.0,41.2,19777034.0,58.8,33616692.0
the musketeer,2001,27073640.0,83.2,5460162.0,16.8,32533802.0
double take,2001,29831583.0,94.4,1771476.0,5.6,31603059.0
how high,2001,31178740.0,99.7,105000.0,0.3,31283740.0
beauty and the beast 2000 imax release,2001,25487190.0,82.1,5546156.0,17.9,31033346.0
joe dirt,2001,27087695.0,87.4,3900000.0,12.6,30987695.0
hearts in atlantis,2001,24185781.0,78.2,6733634.0,21.8,30919415.0
monsoon wedding,2001,13885966.0,45.1,16901390.0,54.9,30787356.0
angel eyes,2001,24174218.0,81.4,5541388.0,18.6,29715606.0
the pledge,2001,19733089.0,67.1,9686202.0,32.9,29419291.0
baby boy,2001,28734552.0,97.8,647097.0,2.2,29381649.0
heist,2001,23510841.0,82.5,4999811.0,17.5,28510652.0
the tailor of panama,2001,13729742.0,49.0,14278720.0,51.0,28008462.0
the brothers,2001,27457409.0,98.2,500782.0,1.8,27958191.0
the last castle,2001,18244060.0,66.0,9398647.0,34.0,27642707.0
saving silverman,2001,19402030.0,74.4,6684676.0,25.6,26086706.0
corky romano,2001,23980304.0,94.9,1292448.0,5.1,25272752.0
the shipping news,2001,11434216.0,46.3,13256225.0,53.7,24690441.0
joe somebody,2001,22771646.0,92.9,1745126.0,7.1,24516772.0
nowhere in africa,2001,6180200.0,25.4,18141980.0,74.6,24322180.0
tanguy,2001,,,24272365.0,,24272365.0
life as a house,2001,15667270.0,65.5,8236521.0,34.5,23903791.0
the glass house,2001,18150259.0,76.8,5469350.0,23.2,23619609.0
tomcats,2001,13558739.0,57.9,9872027.0,42.1,23430766.0
kingdom come,2001,23249649.0,99.4,146400.0,0.6,23396049.0
two can play that game,2001,22235901.0,99.3,155549.0,0.7,22391450.0
winged migration,2001,924651.0,4.3,20568700.0,95.7,21493351.0
amores perros,2001,5408467.0,25.9,15500000.0,74.1,20908467.0
mulholland drive,2001,7220243.0,35.9,12897096.0,64.1,20117339.0
himalaya 2001 re0release,2001,2487878.0,12.5,17473003.0,87.5,19960881.0
crazy/beautiful,2001,16937988.0,85.0,3000000.0,15.0,19937988.0
get over it,2001,11576464.0,58.2,8323902.0,41.8,19900366.0
summer catch,2001,19753553.0,99.9,18894.0,0.1,19772447.0
shackleton's antarctic adventure,2001,15553324.0,79.3,4059892.0,20.7,19613216.0
rock star,2001,17008282.0,88.0,2325863.0,12.0,19334145.0
o,2001,16025437.0,83.2,3235100.0,16.8,19260537.0
the man who wasn't there,2001,7504257.0,39.7,11412366.0,60.3,18916623.0
the curse of the jade scorpion,2001,7517191.0,39.7,11397116.0,60.3,18914307.0
3000 miles to graceland,2001,15749959.0,84.1,2970216.0,15.9,18720175.0
max keeble's big move,2001,17294293.0,92.8,1340361.0,7.2,18634654.0
"godzilla, mothra and king ghidorah: giant monsters all0out attack",2001,,,18623382.0,,18623382.0
antitrust,2001,11328094.0,62.3,6867516.0,37.7,18195610.0
jason x,2001,13121555.0,77.4,3830243.0,22.6,16951798.0
sugar & spice,2001,13305101.0,78.7,3603846.0,21.3,16908947.0
just visiting,2001,4781539.0,29.6,11395193.0,70.4,16176732.0
iris,2001,5594617.0,34.6,10559336.0,65.4,16153953.0
lantana,2001,4623189.0,29.4,11124261.0,70.6,15747450.0
enigma 2001 re0release,2001,4301582.0,27.4,11403425.0,72.6,15705007.0
with a friend like harry...,2001,3830441.0,24.8,11641745.0,75.2,15472186.0
brother,2001,450594.0,3.0,14800000.0,97.0,15250594.0
josie and the pussycats,2001,14271015.0,96.0,595000.0,4.0,14866015.0
out cold,2001,13906394.0,94.1,876282.0,5.9,14782676.0
iron monkey,2001,14694904.0,100.0,0.0,0.0,14694904.0
together,2001,1034829.0,7.1,13537400.0,92.9,14572229.0
freddy got fingered,2001,14254993.0,99.5,78259.0,0.5,14333252.0
osmosis jones,2001,13596911.0,96.9,429507.0,3.1,14026418.0
ghosts of mars,2001,8709640.0,62.2,5301192.0,37.8,14010832.0
american outlaws,2001,13342790.0,97.5,336123.0,2.5,13678913.0
one night at mccool's,2001,6290673.0,46.7,7182697.0,53.3,13473370.0
vidocq,2001,,,13240767.0,,13240767.0
head over heels,2001,10424470.0,79.4,2702552.0,20.6,13127022.0
formula 51,2001,5204007.0,40.4,7677598.0,59.6,12881605.0
the girl from paris,2001,183266.0,1.4,12629130.0,98.6,12812396.0
apocalypse now redux,2001,4626290.0,36.9,7916979.0,63.1,12543269.0
say it isn't so,2001,5520393.0,44.8,6800000.0,55.2,12320393.0
the son's room,2001,1016340.0,8.6,10751062.0,91.4,11767402.0
les rois mages,2001,,,11702020.0,,11702020.0
the experiment,2001,,,11455141.0,,11455141.0
kabhi khushi kabhie gham...,2001,2902000.0,25.6,8427690.0,74.4,11329690.0
the little polar bear,2001,,,11243547.0,,11243547.0
inuyasha the movie: affections touching across time,2001,,,10539779.0,,10539779.0
town & country,2001,6719973.0,64.8,3652318.0,35.2,10372291.0
wasabi,2001,97220.0,0.9,10269140.0,99.1,10366360.0
the wash,2001,10097538.0,98.7,131793.0,1.3,10229331.0
sexy beast,2001,6946056.0,69.1,3099621.0,30.9,10045677.0
girls on top,2001,,,10038662.0,,10038662.0
the deep end,2001,8823109.0,88.0,1208420.0,12.0,10031529.0
mad love,2001,280046.0,3.0,9026316.0,97.0,9306362.0
kandahar,2001,1418314.0,15.9,7496437.0,84.1,8914751.0
son of the bride,2001,624757.0,7.1,8147938.0,92.9,8772695.0
ghost world,2001,6217849.0,70.9,2546158.0,29.1,8764007.0
the forsaken,2001,7288451.0,83.7,1416400.0,16.3,8704851.0
tini: the new life of violetta,2001,,,8678476.0,,8678476.0
the prince and the pirate,2001,,,8579972.0,,8579972.0
bones,2001,7316658.0,87.3,1062195.0,12.7,8378853.0
merry christmas,2001,,,8228560.0,,8228560.0
the hole,2001,,,7644361.0,,7644361.0
sex and lucía,2001,1594779.0,20.9,6045901.0,79.1,7640680.0
monkeybone,2001,5411999.0,71.0,2210366.0,29.0,7622365.0
mean machine,2001,92770.0,1.3,7217436.0,98.7,7310206.0
the slurb,2001,,,6854681.0,,6854681.0
china: the panda adventure,2001,3921642.0,57.8,2863343.0,42.2,6784985.0
the road home,2001,1280490.0,18.9,5500000.0,81.1,6780490.0
the piano teacher,2001,1012069.0,15.0,5737246.0,85.0,6749315.0
under the sand,2001,1452698.0,22.2,5078989.0,77.8,6531687.0
the devil's backbone,2001,755249.0,11.7,5703771.0,88.3,6459020.0
megiddo: the omega code 2,2001,6047691.0,100.0,0.0,0.0,6047691.0
chaos,2001,,,6042938.0,,6042938.0
tom thumb,2001,,,5867304.0,,5867304.0
the golden bowl,2001,3050532.0,53.0,2703146.0,47.0,5753678.0
a fish tale,2001,563911.0,10.1,5031416.0,89.9,5595327.0
made,2001,5313300.0,96.9,167353.0,3.1,5480653.0
read my lips,2001,1471911.0,27.3,3921615.0,72.7,5393526.0
charlotte gray,2001,741394.0,13.9,4581715.0,86.1,5323109.0
the lord of the rings: the two towers,2002,339789881.0,36.8,583225353.0,63.2,923015234.0
