Release_Date,Name,production_budget,domestic_gross,worldwide_gross,foreign_gross,languages
2009,avatar,425000000.0,760507625.0,2776345279.0,2015837654.0,
2011,pirates of the caribbean: on stranger tides,410600000.0,241063875.0,1045663875.0,804600000.0,
2019,dark phoenix,350000000.0,42762350.0,149762350.0,107000000.0,
2015,avengers: age of ultron,330600000.0,459005868.0,1403013963.0,944008095.0,
2017,star wars ep. viii: the last jedi,317000000.0,620181382.0,1316721747.0,696540365.0,
2015,star wars ep. vii: the force awakens,306000000.0,936662225.0,2053311220.0,1116648995.0,
2018,avengers: infinity war,300000000.0,678815482.0,2048134200.0,1369318718.0,
2007,pirates of the caribbean: at worldâs end,300000000.0,309420425.0,963420425.0,654000000.0,
2017,justice league,300000000.0,229024295.0,655945209.0,426920914.0,
2015,spectre,300000000.0,200074175.0,879620923.0,679546748.0,
2012,the dark knight rises,275000000.0,448139099.0,1084439099.0,636300000.0,
2018,solo: a star wars story,275000000.0,213767512.0,393151347.0,179383835.0,
2013,the lone ranger,275000000.0,89302115.0,260002115.0,170700000.0,
2012,john carter,275000000.0,73058679.0,282778100.0,209719421.0,
2010,tangled,260000000.0,200821936.0,586477240.0,385655304.0,
2007,spider-man 3,258000000.0,336530303.0,894860230.0,558329927.0,
2016,captain america: civil war,250000000.0,408084349.0,1140069413.0,731985064.0,
2016,batman v superman: dawn of justice,250000000.0,330360194.0,867500281.0,537140087.0,
2012,the hobbit: an unexpected journey,250000000.0,303003568.0,1017003568.0,714000000.0,
2009,harry potter and the half-blood prince,250000000.0,302089278.0,935213767.0,633124489.0,
2013,the hobbit: the desolation of smaug,250000000.0,258366855.0,960366855.0,702000000.0,
2014,the hobbit: the battle of the five armies,250000000.0,255119788.0,945577621.0,690457833.0,
2017,the fate of the furious,250000000.0,225764765.0,1234846267.0,1009081502.0,
2006,superman returns,232000000.0,200120000.0,374085065.0,173965065.0,
2017,pirates of the caribbean: dead men tell no tales,230000000.0,172558876.0,788241137.0,615682261.0,
2008,quantum of solace,230000000.0,169368427.0,591692078.0,422323651.0,
2012,the avengers,225000000.0,623279547.0,1517935897.0,894656350.0,
2006,pirates of the caribbean: dead manâs chest,225000000.0,423315812.0,1066215812.0,642900000.0,
2013,man of steel,225000000.0,291045518.0,667999518.0,376954000.0,
2008,the chronicles of narnia: prince caspian,225000000.0,141621490.0,417341288.0,275719798.0,
2012,the amazing spider-man,220000000.0,262030663.0,757890267.0,495859604.0,
2012,battleship,220000000.0,65233400.0,313477717.0,248244317.0,
2017,transformers: the last knight,217000000.0,130168683.0,602893340.0,472724657.0,
2015,jurassic world,215000000.0,652270625.0,1648854864.0,996584239.0,
2012,men in black 3,215000000.0,179020854.0,654213485.0,475192631.0,
2009,transformers: revenge of the fallen,210000000.0,402111870.0,836519699.0,434407829.0,
2014,transformers: age of extinction,210000000.0,245439076.0,1104039076.0,858600000.0,
2006,x-men: the last stand,210000000.0,234362462.0,459260946.0,224898484.0,
2010,robin hood,210000000.0,105487148.0,322459006.0,216971858.0,
2005,king kong,207000000.0,218080025.0,550517357.0,332437332.0,
2007,the golden compass,205000000.0,70107728.0,367262558.0,297154830.0,
2018,black panther,200000000.0,700059566.0,1348258224.0,648198658.0,
1997,titanic,200000000.0,659363944.0,2208208395.0,1548844451.0,
2018,incredibles 2,200000000.0,608581744.0,1242520711.0,633938967.0,
2016,rogue one: a star wars story,200000000.0,532177324.0,1049102856.0,516925532.0,
2016,finding dory,200000000.0,486295561.0,1021215193.0,534919632.0,
2010,toy story 3,200000000.0,415004880.0,1068879522.0,653874642.0,
2013,iron man 3,200000000.0,408992272.0,1215392272.0,806400000.0,
2017,guardians of the galaxy vol 2,200000000.0,389813101.0,862316233.0,472503132.0,
2004,spider-man 2,200000000.0,373524485.0,795110670.0,421586185.0,
2010,alice in wonderland,200000000.0,334191110.0,1025491110.0,691300000.0,
2012,skyfall,200000000.0,304360277.0,1110526981.0,806166704.0,
2013,monsters university,200000000.0,268488329.0,743588329.0,475100000.0,
2013,oz the great and powerful,200000000.0,234770996.0,490359051.0,255588055.0,
2014,x-men: days of future past,200000000.0,233921534.0,747862775.0,513941241.0,
2014,the amazing spider-man 2,200000000.0,202853933.0,708996336.0,506142403.0,
2011,cars 2,200000000.0,191450875.0,560155383.0,368704508.0,
2010,tron: legacy,200000000.0,172062763.0,400062763.0,228000000.0,
2009,2012,200000000.0,166112167.0,757677748.0,591565581.0,
2018,fantastic beasts: the crimes of grindelwald,200000000.0,159555901.0,652220086.0,492664185.0,
2009,terminator salvation,200000000.0,125322469.0,365491792.0,240169323.0,
2011,green lantern,200000000.0,116601172.0,219535492.0,102934320.0,
2010,prince of persia: sands of time,200000000.0,90759676.0,336359676.0,245600000.0,
2011,transformers: dark of the moon,195000000.0,352390543.0,1123790543.0,771400000.0,
2017,the mummy,195000000.0,80101125.0,409953905.0,329852780.0,
2013,jack the giant slayer,195000000.0,65187603.0,197687603.0,132500000.0,
2015,furious 7,190000000.0,353007020.0,1518722794.0,1165715774.0,
2013,star trek into darkness,190000000.0,228778661.0,467381584.0,238602923.0,
2013,world war z,190000000.0,202359711.0,531514650.0,329154939.0,
2013,the great gatsby,190000000.0,144840419.0,351040419.0,206200000.0,
2009,disneyâs a christmas carol,190000000.0,137855863.0,315709697.0,177853834.0,
2013,pacific rim,190000000.0,101802906.0,411002906.0,309200000.0,
2015,the good dinosaur,187500000.0,123087120.0,333771037.0,210683917.0,
2008,iron man,186000000.0,318604126.0,585171547.0,266567421.0,
