Name,Year,Domestic,Foreign
Vidhi, (2021),"$1,352","$1,352"
100 Days of Loneliness, (2018),"$22,158","$22,158"
The Hiding Place, (2023),"$3,414","$3,414"
102 Dalmatians, (2000),"$66,957,026","$116,654,745"
A Quiet Place: Day One, (2024),"$138,930,553","$122,855,769"
A Man and a Woman, (1966),"$44,666","$44,666"
September 11, (2002),"$127,035","$1,139,028"
"La Commune (Paris, 1871)", (2000),"$5,340","$16,301"
2001: A Space Odyssey, (1968),"$60,481,243","$6,194,452"
Zidane - A 21st Century Portrait, (2006),"$689,094","$689,094"
24 Hour Party People, (2002),"$1,184,096","$1,618,048"
Squadron 303, (2018),"$7,694,425","$7,694,425"
360, (2011),"$100,343","$4,296,632"
24 Hours in the Life of a Woman, (2002),"$1,500,180","$1,500,180"
3000 Miles to Graceland, (2001),"$15,749,959","$2,970,216"
28 Days Later, (2002),"$45,064,915","$39,596,519"
4.3.2.1., (2010),"$1,477,582","$1,477,582"
44 Inch Chest, (2009),"$39,033","$255,212"
7 Lives, (2011),$51,$51
15 Ways to Kill Your Neighbour, (2022),"$163,473","$163,473"
9 Songs, (2004),"$66,853","$1,523,455"
8 ½ Women, (1999),"$424,123","$13,445"
A Little Bit of Heaven, (2011),"$15,375","$6,763,013"
A Boy Called Christmas, (2021),"$3,704,685","$3,704,685"
Robin Hood, (2018),"$30,824,628","$55,668,418"
A Bunch of Amateurs, (2008),"$691,453","$691,453"
A Knight's Tale, (2001),"$56,569,702","$60,917,771"
A City of Sadness, (1989),"$143,169","$143,169"
A Christmas Carol, (2009),"$137,855,863","$187,430,783"
A Clockwork Orange, (1971),"$26,617,553","$346,850"
Tristram Shandy, (2005),"$1,253,413","$2,678,569"
Wallace & Gromit: A Close Shave, (1995),"$4,638","$4,638"
Hit Man, (2023),"$5,348,633","$5,348,633"
A Complete History of My Sexual Failures, (2008),"$397,952","$397,952"
Self-Portrait of a Dutiful Daughter, (2015),"$14,130","$14,130"
At the Beach, (2008),"$1,313,378","$1,313,378"
Feast of Love, (2007),"$3,511,074","$2,230,534"
A Different Loyalty, (2004),"$574,672","$574,672"
A Doll's House, (1973),"$5,304","$5,304"
A Fantastic Fear of Everything, (2012),"$96,948","$96,948"
A Walk to Remember, (2002),"$41,281,092","$6,213,824"
A Few Best Men, (2011),"$15,521,362","$15,521,362"
A Film with Me in It, (2008),"$241,216","$241,216"
The Bad and the Beautiful, (1952),"$2,025","$2,025"
A Fistful of Dollars, (1964),"$14,500,000","$16,248"
A Matador's Mistress, (2008),"$724,785","$724,785"
Finishing the Game, (2007),"$52,868",$702
A Woman of Paris: A Drama of Fate, (1923),"$11,233","$11,233"
Ride Like a Girl, (2019),"$9,545,647","$9,545,647"
A Million, (2009),"$2,456,417","$2,456,417"
A Greyhound of a Girl, (2023),"$203,371","$203,371"
Wallace & Gromit: A Grand Day Out, (1989),"$40,118","$40,118"
A Hard Day's Night, (1964),"$1,480,356","$880,205"
A Good Woman, (2004),"$238,609","$6,639,824"
"Yalkae, a Joker in High School", (1977),"$2,907","$2,907"
Hot Blooded, (2022),"$2,901,023","$2,901,023"
A Table for Two, (2022),"$25,465","$25,465"
One Hundred and One Dalmatians, (1961),"$144,880,014","$71,000,000"
Zathura: A Space Adventure, (2005),"$29,258,869","$35,820,235"
A King in New York, (1957),$910,$910
A Letter from Helga, (2022),"$121,939","$121,939"
Lady and the Tramp, (1955),"$93,602,326","$331,068"
The King's Man, (2021),"$37,176,373","$88,721,105"
A Lonely Place to Die, (2011),"$442,550","$442,550"
A Loving Father, (2002),"$77,735","$77,735"
A Matter of Trust, (2022),"$31,310","$31,310"
A Man of Reason, (2022),"$928,721","$928,721"
A Matter of Life and Death, (1946),"$179,059","$179,059"
A Nice Girl Like You, (2020),"$771,222","$771,222"
A War, (2015),"$122,902","$991,761"
From Up on Poppy Hill, (2011),"$1,002,895","$60,482,469"
The Universe Of One's Own, (2018),"$7,898","$7,898"
No Place to Go, (2000),"$41,479","$41,479"
Stuck in Love., (2012),"$81,071","$896,600"
Two Women, (2014),"$7,821","$7,821"
A Passage to India, (1984),"$27,187,653","$13,834"
Beginning of the Great Revival, (2011),"$151,000","$58,163,351"
The Price of Money: A Largo Winch Adventure, (2024),"$3,641,429","$3,641,429"
A Queen Is Crowned, (1953),"$7,373","$7,373"
Crock of Gold: A Few Rounds with Shane MacGowan, (2020),"$2,455","$139,786"
Hedi, (2016),"$406,960","$406,960"
A Room with a View, (1985),"$20,966,644","$74,809"
A Royal Affair, (2012),"$1,546,761","$13,212,236"
Seven Brides for Seven Brothers, (1954),"$13,672","$13,672"
Pretty in Pink, (1986),"$40,471,663","$7,817"
Song for a Raggy Boy, (2003),"$783,544","$783,544"
Son of a Gun, (2014),"$660,241","$660,241"
A Shot in the Dark, (1964),"$12,368,234",$583
A Spot of Bother, (2009),"$4,543,368","$4,543,368"
A Sound of Thunder, (2005),"$1,900,451","$9,765,014"
A Beautiful Wife, (2007),"$30,385,222","$30,385,222"
A Stitch in Time, (2022),"$211,846","$211,846"
A Tale of Three Cities, (2015),"$1,871,119","$1,871,119"
American Pie 2, (2001),"$145,103,595","$142,450,000"
Valatty: Tale of Tails, (2023),"$9,701","$9,701"
A Taste of Honey, (1961),"$4,597","$4,597"
Death Is a Problem for the Living, (2023),"$42,557","$42,557"
A Tale of Two Sisters, (2003),"$72,541","$1,007,785"
Kill Zone 2, (2015),"$11,998","$93,626,360"
A Throw of Dice, (1929),"$2,306","$2,306"
Therapy for a Vampire, (2014),"$30,115","$179,607"
Gogol. A Terrible Vengeance, (2018),"$7,141,571","$7,141,571"
A History of Violence, (2005),"$31,504,633","$29,880,432"
A Time to Kill, (1996),"$108,766,007","$43,500,000"
A View to a Kill, (1985),"$50,327,960","$9,572"
Warm Water Under a Red Bridge, (2001),"$71,094","$382,660"
218: Behind the Wall of Silence, (2021),"$12,624","$12,624"
Seawards Journey, (2003),"$19,225","$19,225"
Once Upon a Time in London, (2019),"$1,567","$1,567"
John Singer Sargent: Fashion and Swagger, (2024),"$216,303","$216,303"
Strange Way of Life, (2023),"$503,992","$560,838"
Scent of a Woman, (1992),"$63,095,253","$71,000,000"
Absolon, (2003),"$7,016","$7,016"
About Adam, (2000),"$159,668","$643,283"
Absolution, (2024),"$2,634,331","$625,944"
Accidents Happen, (2009),"$36,857","$36,857"
Accused, (2023),"$133,284","$133,284"
Accident, (1967),"$17,161","$48,454"
The Great Gatsby, (2013),"$144,857,996","$208,801,855"
Aftermath, (2024),"$43,498","$43,498"
Fireman Sam: Set for Action!, (2018),"$2,165,271","$2,165,271"
Act of Valor, (2012),"$70,012,847","$12,486,552"
Monkey Man, (2024),"$25,116,955","$10,154,676"
Adulthood, (2008),"$6,611,001","$6,611,001"
Adventures of a Mathematician, (2020),"$1,275","$1,275"
A Taxi Driver, (2017),"$1,527,829","$84,725,111"
A Fond Kiss, (2004),"$30,148","$6,541,154"
Afghan Star, (2009),"$102,115","$10,794"
Africa United, (2010),"$1,207,592","$1,207,592"
Avengers: Infinity War, (2018),"$678,815,482","$1,373,599,557"
Afterwards, (2008),"$3,862,534","$3,862,534"
An American Haunting, (2005),"$16,298,046","$13,314,091"
After the Ball, (2015),"$161,820","$72,597"
The Fox, (2022),"$26,284","$26,284"
Ghostbusters: Afterlife, (2021),"$129,360,575","$74,973,880"
Dying of the Light, (2014),"$697,847","$697,847"
Headwinds, (2011),"$1,957,683","$1,957,683"
The King Tide, (2023),"$16,826","$16,826"
The Age of Adaline, (2015),"$42,629,776","$23,033,500"
Brother, (1997),"$1,362,281","$1,362,281"
Albert Nobbs, (2011),"$3,014,696","$4,517,563"
Ali G Indahouse, (2002),"$23,280,529","$23,280,529"
Body Double, (1984),"$8,801,940",$485
RB&O Live: Alice's Adventures in Wonderland, (2024),"$812,783","$812,783"
Subservience, (2024),"$261,085","$261,085"
A Cure for Wellness, (2016),"$8,106,986","$18,513,016"
Alien Autopsy, (2006),"$4,043,612","$4,043,612"
All Creatures Big And Small, (2015),"$22,783,699","$22,783,699"
Alien: Romulus, (2024),"$105,313,091","$245,543,613"
Aliens, (1986),"$85,160,248","$45,900,000"
You & I, (2014),"$6,950","$6,950"
Net als in de Film, (2023),"$423,575","$423,575"
All Over the Guy, (2001),"$1,022,324","$29,624"
All or Nothing, (2002),"$201,546","$2,644,150"
Trouble with the Curve, (2012),"$35,763,137","$13,200,000"
Step Up All In, (2014),"$14,904,384","$71,261,262"
Jingle All the Way, (1996),"$60,592,389","$69,240,000"
A Gentleman, (2017),"$410,055","$3,028,691"
I'll Give It My All... Tomorrow, (2013),"$2,900,632","$2,900,632"
Amazing Grace, (2006),"$21,250,683","$10,869,677"
All the King's Men, (2006),"$7,221,458","$2,230,165"
Bed of Roses, (1996),"$19,030,691","$8,284,836"
An American Werewolf in London, (1981),"$30,565,292","$246,227"
An Affair, (2018),"$640,740","$640,740"
An Evening with Beverly Luff Linn, (2018),"$6,701","$16,814"
An Angel at My Table, (1990),"$1,054,638","$1,357"
InuYasha the Movie 3: Swords of an Honorable Ruler, (2003),"$6,654,841","$6,654,841"
An Inspector Calls, (1954),"$6,331,372","$6,331,372"
New York in New York, (2019),"$2,743","$2,743"
Monty Python's and Now for Something Completely Different, (1971),"$6,979","$6,979"
Anchors Aweigh, (1945),"$2,457","$2,457"
And Soon the Darkness, (2010),"$177,182","$177,182"
And Now Ladies & Gentlemen, (2002),"$736,872","$2,123,913"
Now and Then, (1995),"$27,112,329","$10,479,345"
Alita: Battle Angel, (2019),"$85,838,210","$319,142,333"
Only Angels Have Wings, (1939),"$8,554","$8,554"
Vy nám taky séfe!, (2008),"$498,588","$498,588"
Angel Heart, (1987),"$17,185,632",$322
"Angus, Thongs and Perfect Snogging", (2008),"$14,924,998","$14,924,998"
Faces of Anne, (2022),"$42,912","$42,912"
Nocturnal Animals, (2016),"$10,663,357","$19,648,500"
Anita & Me, (2002),"$3,016,461","$3,016,461"
Angels & Demons, (2009),"$133,375,846","$352,554,970"
Another Man, (2008),"$18,099","$18,099"
Anonymous, (2011),"$4,463,292","$10,931,795"
Another Life, (2013),"$324,599","$324,599"
The Mother and the Whore, (1973),"$40,555","$6,789"
Anuvahood, (2011),"$3,405,485","$3,405,485"
Antonia's Line, (1995),"$4,228,275","$21,046"
Apaches, (2023),"$356,730","$356,730"
Nothing to Declare, (2010),"$93,811,164","$93,811,164"
Appearances, (2020),"$3,047,468","$3,047,468"
Ace Ventura: Pet Detective, (1994),"$72,217,396","$35,000,000"
Archipelago, (2010),"$7,791","$504,845"
Pet Shop Boys Dreamworld: The Greatest Hits Live at the Royal Arena Copenhagen, (2024),"$258,602","$258,602"
All We Imagine as Light, (2024),"$51,000","$1,346,491"
Arn: The Kingdom at the End of the Road, (2008),"$8,787,136","$8,787,136"
Around the World with Peppa, (2016),"$318,674","$318,674"
Arn: The Knight Templar, (2007),"$21,287,566","$21,287,566"
Arsène Lupin, (2004),"$9,661,031","$9,661,031"
Arthur the King, (2024),"$25,049,006","$15,780,132"
Good as New, (2019),"$140,991","$140,991"
Arthur's Dyke, (2001),"$76,065","$76,065"
Happy as Lazzaro, (2018),"$1,824,399","$1,824,399"
As You Like It, (2006),"$563,162","$563,162"
I'm Fine (Thanks for Asking), (2021),"$3,755","$3,755"
Assassin, (2023),"$66,813","$66,813"
Asylum, (2005),"$375,403","$2,412,630"
Attack on Titan the Movie: The Last Attack, (2024),"$1,634,170","$1,634,170"
Atlantic., (2014),"$14,484","$14,484"
Up at the Villa, (2000),"$2,933,161","$806,952"
Kiss Me at the Stroke of Midnight, (2019),"$9,823,872","$9,823,872"
Attack the Block, (2011),"$1,024,175","$5,181,847"
Attack on Titan Part 1, (2015),"$449,523","$30,361,135"
Alien vs. Predator, (2004),"$80,282,231","$97,144,859"
Awaydays, (2009),"$131,265","$131,265"
August Rush, (2007),"$31,664,162","$34,457,864"
Away We Go, (2009),"$9,451,946","$6,327,509"
Bab'Aziz: The Prince That Contemplated His Soul, (2005),"$89,672","$263,447"
Away from Her, (2006),"$4,571,521","$4,622,762"
B. Monkey, (1998),"$39,371","$11,461"
Queen of Hearts, (2019),"$437,005","$437,005"
Alvin and the Chipmunks, (2007),"$217,326,974","$148,025,572"
Babylon, (2022),"$15,351,455","$49,609,221"
Back in Business, (2007),"$25,060","$25,060"
Rambo, (2008),"$42,754,105","$70,490,185"
Babe: Pig in the City, (1998),"$18,319,860","$50,812,000"
Back to the Future, (1985),"$214,077,472","$170,500,000"
Backbeat, (1994),"$2,392,589","$2,315,862"
Bad Behaviour, (2023),"$88,469","$88,469"
48 Hours to Live, (2016),"$18,847","$18,847"
Two Buddies and a Badger, (2015),"$2,471,217","$2,471,217"
Baltic Storm, (2003),"$198,457","$198,457"
Bait, (2012),"$33,492,566","$33,492,566"
The Band Wagon, (1953),"$14,537","$14,537"
Bananas, (1971),"$136,200","$136,200"
An American Crime, (2007),"$1,306,875","$1,306,875"
Barry Lyndon, (1975),"$265,160","$265,160"
Bathory: Countess of Blood, (2008),"$7,005,528","$7,005,528"
The Batman, (2022),"$369,345,583","$402,973,732"
Batman Returns, (1992),"$162,924,631","$104,010,057"
Batman Forever, (1995),"$184,069,126","$152,498,032"
Battle for Haditha, (2007),"$10,310","$235,211"
Battle for Sevastopol, (2015),"$9,104,504","$9,104,504"
Ambush, (2023),"$26,305","$26,305"
Vampyrer, (2008),"$10,282","$10,282"
My Father's Guests, (2010),"$5,902,718","$5,902,718"
Bean, (1997),"$45,319,423","$205,893,247"
Bear Island, (2014),"$51,211","$51,211"
My Best Friend's Girl, (2008),"$19,219,250","$22,405,437"
Beautiful Joe, (2000),"$2,009","$2,009"
Late Night with the Devil, (2023),"$10,001,000","$5,452,763"
Beautiful Thing, (1996),"$1,548,120","$627,772"
Beauty and the Beast, (2017),"$504,481,165","$761,634,799"
Nedelja, (2024),"$1,905,017","$1,905,017"
Before I Wake, (2016),"$3,965,086","$3,965,086"
Before the Rains, (2007),"$1,029,655","$287,067"
Before You Go, (2002),"$87,445","$87,445"
Being Human, (2008),"$1,269,821","$1,269,821"
After the Sunset, (2004),"$28,331,233","$34,326,635"
Bel Ami, (2012),"$120,462","$9,254,470"
Belly of the Beast, (2003),"$254,988","$254,988"
Ben-Hur, (1959),"$74,432,704","$5,045"
Below, (2002),"$605,562","$2,016,453"
Beneath Still Waters, (2005),"$18,001","$18,001"
Belphegor: Phantom of the Louvre, (2001),"$2,863,896","$2,863,896"
Courtesy to the Nation, (2017),"$33,455","$33,455"
The Benefit of the Doubt, (2017),"$136,070","$136,070"
Berberian Sound Studio, (2012),"$38,493","$274,264"
Best Laid Plans, (2012),$573,$573
Adana Isi, (2015),"$157,822","$157,822"
Genie, (2023),"$333,526","$333,526"
Beowulf, (2007),"$82,280,579","$114,113,166"
Two Women, (1960),"$14,062","$14,062"
"Pedro, Between the Devil and the Deep Blue Sea", (2021),"$10,787","$10,787"
Barn, (2019),"$183,594","$183,594"
Citizen Kane, (1941),"$1,627,530","$65,382"
Bhaji on the Beach, (1993),"$734,634","$4,421"
Big Fat Gypsy Gangster, (2011),$753,$753
Beyond the Sea, (2004),"$6,318,709","$2,128,906"
Big Nothing, (2006),"$662,081","$662,081"
Big Boys Gone Bananas!*, (2011),"$1,175","$1,175"
Adventure in Time and Space, (2018),"$390,928","$390,928"
Billion Dollar Brain, (1967),$214,$214
Bigga Than Ben, (2008),"$508,673","$508,673"
Biggie & Tupac, (2002),"$94,874","$51,545"
Billy Liar, (1963),"$29,153","$29,153"
