Name,Year,Languages,Countries,Genres,Budget,domestic_gross,domestic_percentage,foreign_gross,foreign_percentage,worldwide_gross
10 cloverfield lane,2016,,,"drama, horror, sci-fi, thriller",5000000,72082999,0.6540098138582053,38134000,0.3459901861417947,110216999
12 monkeys,1995,,,"mystery, sci-fi, thriller",29000000,57141459,0.338436638795437,111698000,0.6615633612045629,168839459
12 strong,2018,,,"action, drama, history, war",35000000,45819713,0.6442738753125107,25298665,0.3557261246874894,71118378
12 years a slave,2013,,,"biography, drama, history",20000000,56671993,0.30187517389704993,131061209,0.6981248261029501,187733202
13 hours,2016,,,"action, drama, history, thriller, war",50000000,52853219,0.7614490104431018,16558151,0.23855098955689824,69411370
13 sins,2014,,,"horror, thriller",4000000,13809,0.01669945931434141,813104,0.9833005406856586,826913
1917,2019,,,"action, drama, war",95000000,159227644,0.35696114985669153,286836708,0.6430388501433084,446064352
2 guns,2013,,,"action, comedy, thriller",61000000,75612460,0.5706901605341232,56880555,0.42930983946587675,132493015
20 feet from stardom,2013,,,"biography, documentary, history, music",1000000,4946445,0.847085677765128,892923,0.152914322234872,5839368
21 & over,2013,,,comedy,13000000,25682380,0.5343185465086184,22383292,0.4656814534913815,48065672
21 bridges,2019,,,"action, adventure, crime, drama, mystery, thriller",33000000,28539757,0.5714836978481894,21400000,0.42851630215181064,49939757
22 jump street,2014,,,"action, comedy, crime",50000000,191719337,0.5786288420445123,139614539,0.4213711579554878,331333876
3 days to kill,2014,,,"action, drama, thriller",28000000,30697999,0.5763775147046868,22562231,0.4236224852953132,53260230
3-d sex and zen: extreme ecstasy,2011,,,"comedy, drama",3500000,153215,0.014863354920598457,10155023,0.9851366450794016,10308238
300: rise of an empire,2014,,,action,110000000,106580051,0.31571785916935,231000000,0.68428214083065,337580051
47 meters down,2017,,,"horror, mystery, thriller",5300000,44307191,0.7123518860056682,17891270,0.28764811399433177,62198461
47 meters down: uncaged,2019,,,"adventure, drama, horror, thriller",12000000,22260900,0.46783734621441053,25321663,0.5321626537855895,47582563
47 ronin,2013,,,"action, drama, fantasy",175000000,38362475,0.25274413437388416,113421364,0.7472558656261158,151783839
5 days of war,2011,,,"action, drama, war",12000000,17479,0.05514854359129689,299465,0.9448514564087032,316944
500 days of summer,2009,,,"comedy, drama, romance",7500000,32391374,0.5327489713726433,28409070,0.46725102862735673,60800444
9,2005,,united states of america,"thriller, science fiction, computer animation, animation, short film, apocalyptic and post-apocalyptic fiction, fantasy",30000000,31749894,0.6538281436126059,16810105,0.34617185638739406,48559999
99 homes,2014,,,"crime, drama",8000000,1411927,0.7722909346297406,416305,0.22770906537025937,1828232
a bad moms christmas,2017,,,comedy,28000000,72110659,0.5523163496369665,58449769,0.4476836503630334,130560428
a beautiful day in the neighborhood,2019,,,"biography, drama, family",25000000,61704055,0.9084046984078921,6221678,0.09159530159210796,67925733
a cure for wellness,2016,,,"drama, fantasy, horror, mystery, sci-fi, thriller",40000000,8106986,0.3045449057441844,18513016,0.6954550942558156,26620002
