Name,Year,Languages,Countries,Genres,Budget,runtime,rating,domestic_gross,foreign_gross,worldwide_gross
Childless ,2015,English,United States,Drama,"$1,000,000 (worldwide box office is 0.0 times production budget)",,"R for language, sexual references and drug content.(Rating bulletin 2369, 4/15/2015)","$1,036",,
In Her Line of Fire ,2006,,United States,Action,"$1,000,000 (worldwide box office is 0.0 times production budget)",,R for violence and brief language.,$884,,
The Jimmy Show ,2002,,United States,,"$1,000,000 (worldwide box office is 0.0 times production budget)",,R for language. ,$703,,
El Cuaderno de Sara ,2018,"French, Spanish, Swahili",Spain,Thriller/Suspense,"$1,000,000 (worldwide box office is 6.3 times production budget)",115 minutes,,n/a,"$6,298,717","$6,298,717"
Heli ,2013,Spanish,Mexico,Drama,"$1,000,000 (worldwide box office is 0.6 times production budget)",,,n/a,"$552,614","$552,614"
The Man in the Hat ,2020,English,United Kingdom,Comedy,"$1,000,000 (worldwide box office is 0.2 times production budget)",95 minutes,,n/a,"$206,973","$206,973"
American Hero ,2015,English,United States,Action,"$1,000,000 (worldwide box office is 0.1 times production budget)",86 minutes,Not Rated,n/a,"$107,590","$107,590"
Burn Burn Burn ,2016,English,United Kingdom,Comedy,"$1,000,000 (worldwide box office is 0.0 times production budget)",96 minutes,,n/a,"$19,923","$19,923"
Karachi se Lahore ,2015,Urdu,Pakistan,Comedy,"$1,000,000 (worldwide box office is 0.0 times production budget)",,,n/a,"$17,721","$17,721"
Loving Annabelle ,2006,English,United States,Drama,"$1,000,000 (worldwide box office is 0.0 times production budget)",76 minutes,,n/a,"$5,382","$5,382"
Frat Party ,2009,,,,"$1,000,000",,"R For strong crude and sexual content, nudity and language throughout",n/a,,
Jimmy and Judy ,2006,,United States,Action,"$1,000,000",,"R for strong sexuality, nudity, violence, drug content and language.",n/a,,
The Party's Over ,2003,,United States,Documentary,"$1,000,000",90 minutes,,n/a,,
The Poker House ,2009,English,United States,Drama,"$1,000,000",,"R For language, and disturbing content involving a minor including rape, sexual content and drug/alcohol abuse",n/a,,
