,Name,Year,Countries,Genres,Budget(USD),Domestic(USD),Domestic_Percentage,Foreign(USD),Foreign_Percentage,Worldwide(USD),Runtime(mins),Rating,Audience_Score,Critics_Score,plot_summary,release_date
108,a.x.l.,2018,united states of america,action,10000000,6501381,0.787115667986682,1758372,0.212884332013318,8259753,98,pg,58%,26%,"A.X.L. is a top-secret, robotic dog that has advanced artificial intelligence created by the military. After an experiment gone wrong, A.X.L. is discovered hiding in the desert by Alex, a kindhearted outsider who finds a way to connect with the robot. The two soon develop a special friendship based on trust, loyalty and compassion. Helping Miles gain confidence, A.X.L. goes to any length to protect his new companion, including facing off against the scientists who want their creation back.
            ","Aug 24, 2018, Wide"
109,abandon,2002,"united states of america, australia","thriller, mystery, drama, psychological thriller, suspense",25000000,10727683,0.8720120329511286,1574536,0.1279879670488714,12302219,99,pg-13,31%,16%,"A psychological thriller about a senior (Katie Holmes) at one of America's most prestigious universities. Under enormous pressure to complete her thesis and earn a top job at one of the world's most competitive consulting firms, Katie is still coping with the sudden unexplained disappearance of her first love two years prior. As the investigation continues, Katie is forced to choose between past passions and new possibilities, even as new facts are uncovered.
            ","Oct 18, 2002, Wide"
110,abduction,2011,united states of america,"thriller, mystery, action, drama, action/adventure",35000000,28087155,0.3241510321043702,58561204,0.6758489678956298,86648359,106,pg-13,42%,5%,"For many years, Nathan Harper (Taylor Lautner) has had the uneasy feeling that life with his family isn't quite what it seems. His fears come true when he finds a picture of himself as a youngster on a missing-persons website, proof that the people he's called mom and dad his whole life are not his real parents. As he draws close to uncovering his true identity, Nathan becomes the target of assassins, forcing him to flee with his neighbor, Karen (Lily Collins), the only person he can now trust.
            ","Sep 23, 2011, Wide"
111,abigail,2024,united states of america,"horror, thriller",28000000,25867515,0.6045019648668593,16923934,0.3954980351331407,42791449,109,r,84%,83%,"After a group of would-be criminals kidnap the 12-year-old ballerina daughter of a powerful underworld figure, all they have to do to collect a $50 million ransom is watch the girl overnight. In an isolated mansion, the captors start to dwindle, one by one, and they discover, to their mounting horror, that they're locked inside with no normal little girl.
            ","Apr 19, 2024, Wide"
112,about a boy,2002,"united states of america, france, united kingdom","romantic comedy, slice of life story, comedy-drama, coming of age, comedy, drama, romance film",27000000,41385278,0.3150957071751245,89956651,0.6849042928248754,131341929,101,pg-13,55%,93%,"A comedy-drama starring Hugh Grant as Will, a rich, child-free and irresponsible Londoner in his thirties who, in search of available women, invents an imaginary son and starts attending single parent meetings. As a result of one of his liaisons, he meets Marcus, an odd 12-year-old boy with problems at school. Gradually, Will and Marcus become friends, and as Will teaches Marcus how to be a cool kid, Marcus helps Will to finally grow up.
            ","May 17, 2002, Wide"
113,about last night,2014,united states of america,romantic comedy,13000000,48637684,0.964156107161222,1808176,0.035843892838778,50445860,100,r,64%,68%,"While out with loudmouthed pal Bernie (Kevin Hart), Danny (Michael Ealy) meets successful businesswoman Debbie (Joy Bryant), who's as leery of relationships as Danny is. However, Danny and Debbie both feel the pull of undeniable attraction, and they end up spending the first of several nights together. The two try to make a success of being a couple despite warnings from Bernie and Joan (Regina Hall), Debbie's best friend. Meanwhile, Bernie and Joan experience some chemistry of their own.
            ","Feb 14, 2014, Wide"
114,about schmidt,2002,united states of america,"indie, comedy of manners, comedy-drama, drama, comedy, black comedy, tragicomedy",30000000,65016287,0.6072568120275172,42049267,0.3927431879724827,107065554,125,r,74%,86%,"Warren Schmidt (Jack Nicholson) has arrived at several of life's crossroads all at the same time. To begin with, he is retiring from a lifetime of service as an actuary for Woodmen of the World Insurance Company, and he feels utterly adrift. Furthermore, his only daughter Jeannie (Hope Davis) is about to marry a boob. And his wife Helen (June Squibb) dies suddenly after 42 years of marriage.
            ","Dec 20, 2002, Wide"
115,about time,2013,united kingdom,"comedy, drama, fantasy, romance, sci-fi",12000000,15323921,0.1715828243318956,73985257,0.8284171756681044,89309178,123,r,82%,71%,"When Tim Lake (Domhnall Gleeson) is 21, his father (Bill Nighy) tells him a secret: The men in their family can travel through time. Although he can't change history, Tim resolves to improve his life by getting a girlfriend. He meets Mary (Rachel McAdams), falls in love and finally wins her heart via time-travel and a little cunning. However, as his unusual life progresses, Tim finds that his special ability can't shield him and those he loves from the problems of ordinary life.
            ","Nov 8, 2013, Wide"
116,abraham lincoln: vampire hunter,2012,united states of america,"thriller, action/adventure, action, horror, fantasy",67500000,37519139,0.2728868476212732,99970591,0.7271131523787268,137489730,105,r,50%,34%,"While still a boy, Abraham Lincoln loses his mother to a vampire's bite. He vows revenge, but fails in the attempt, narrowly escaping with his life. He is rescued by Henry (Dominic Cooper), a charismatic vampire hunter who instructs Abe in the fine art of dispatching bloodsuckers. Abe (Benjamin Walker) continues his fight against the undead well into adulthood and his presidency, making a last stand against the ultimate vampire foe (Rufus Sewell) on the eve of the Civil War's defining battle.
            ","Jun 22, 2012, Wide"
117,accepted,2006,united states of america,"comedy, teen",23000000,36323505,0.9404566864393794,2299757,0.0595433135606205,38623262,93,pg-13,72%,38%,"After receiving his latest college rejection letter, senior Bartleby Gaines devises a novel way to fool everyone into thinking he is college-bound: Open his own university. Bartleby and his similarly stymied friends take over an abandoned building, create a fake Web site, hire a friend's uncle to pose as the dean, and -- presto -- a school is born. However, they do their jobs too well, and soon many other rejects try to gain admittance to the nonexistent South Harmon Institute of Technology.
            ","Aug 18, 2006, Wide"
118,ace ventura: pet detective,1994,united states of america,"thriller, detective, mystery, gross-out film, comedy, gross out, action, slapstick",12000000,72217396,0.6735604360322275,35000000,0.3264395639677725,107217396,86,pg-13,57%,47%,"When the dolphin mascot of Miami's NFL team is abducted, Ace Ventura, a zany private investigator who specializes in finding missing animals, looks into the case. Soon Miami Dolphins players are kidnapped too, including star player Dan Marino, making Ace's sleuth work even more pressing. Working with Dolphins representative Melissa Robinson, Ace closes in on the culprits, but not before many ridiculous misadventures.
            ","Feb 4, 1994, Wide"
119,ace ventura: when nature calls,1995,united states of america,"detective fiction, adventure, detective, mystery, gross-out film, comedy, gross out, action, slapstick",30000000,108385533,0.5103244626365394,104000000,0.4896755373634606,212385533,90,pg-13,72%,21%,"Legendary pet detective Ace Ventura (Jim Carrey) returns for another adventure when he's coerced out of retirement while on a soul-searching retreat in the Himalayas. He must now retrieve an endangered white bat from a village located in Africa. The sacred animal was offered up as a wedding dowry from the Wachootoo prince to the Wachati princess, and, if Ace can't track down the culprit behind the kidnapping in time, civil war will break out between the two rival tribes.
            ","Nov 10, 1995, Original"
120,acrimony,2018,united states of america,"drama, horror, romance, thriller",20000000,43549096,0.933972059093628,3078740,0.0660279409063718,46627836,120,r,65%,19%,"When Melinda met Robert, she was skeptical of his charming nature but couldn't deny how attracted she was to him. Once they fell in love, Melinda molded herself into everything he wanted her to be. She sacrificed for him, worked to support his grandiose dreams, and put up with him for better or for worse. Then, one day she realized that after all she had done, another woman was reaping the lavish rewards. That's when Melinda lost it, and now she cannot let it go.
            ","Mar 30, 2018, Wide"
121,across the universe,2007,united states of america,"lgbt, jukebox musical, period piece, musical, drama, romantic drama, romance film",45000000,24343673,0.828942502169857,5023470,0.171057497830143,29367143,133,pg-13,82%,53%,"The songs of the Beatles provide the sonic framework for this musical tale of romance, war and peace. When young British worker Jude (Jim Sturgess) sets sail for the United States in search of his father, he ends up meeting carefree college student Max (Joe Anderson) and his lovely sister, Lucy (Evan Rachel Wood), along with a cast of eccentric characters. As Jude and Lucy fall for each other, their relationship is threatened by the social upheaval that accompanies the Vietnam War.
            ","Sep 21, 2007, Wide"
122,act of valor,2012,united states of america,"thriller, action, adventure",12000000,70012847,0.8486710704208945,12484188,0.1513289295791055,82497035,110,r,72%,28%,"When its latest mission leads to the discovery of a deadly terrorist plot against the U.S., an elite team of Navy SEALs sets out on a global manhunt. As the men of Bandito Platoon race to stop an attack that could kill or maim thousands of American civilians, they must balance their commitment to their duty and family back home. Each new piece of intelligence they gather reveals a shocking twist to the plot as they track the terrorist ring to the U.S.- Mexico border.
            ","Feb 24, 2012, Wide"
123,action jackson,1988,united states of america,action,7000000,20257000,0.99912610375148,17718,0.0008738962485199,20274718,96,r,35%,19%,"Due to the use of excessive force in arresting a sexual predator, Detective Lt. Jericho ""Action"" Jackson (Carl Weathers) is demoted to police sergeant. What's worse, the father of the man he roughed up, Detroit industrialist Peter Dellaplane (Craig T. Nelson), declares war on Jackson, framing him for the murder of his own wife, Patrice (Sharon Stone). But Jericho manages to elude arrest and, with the help of a drug-addicted singer named Sydney (Vanity), goes after Dellaplane.
            ","May 1, 2008"
124,action point,2018,united states,comedy,19000000,5059608,0.9913679645384108,44055,0.008632035461589,5103663,85,r,27%,16%,"D.C. is the crackpot owner of Action Point -- a low-rent, out-of-control amusement park where the rides are designed with minimum safety for maximum fun. Just as his estranged daughter Boogie comes to visit, a corporate mega-park opens nearby and jeopardizes the future of Action Point. To save his beloved park and his relationship with Boogie, D.C. and his loony crew of misfits must risk everything to pull out all the stops and save the day.
            ","Jun 1, 2018, Wide"
125,ad astra,2019,"brazil, united states of america","adventure, drama, mystery, sci-fi, thriller",49800000,50188370,0.393752023350167,77273502,0.606247976649833,127461872,123,pg-13,40%,83%,"Thirty years ago, Clifford McBride led a voyage into deep space, but the ship and crew were never heard from again. Now his son -- a fearless astronaut -- must embark on a daring mission to Neptune to uncover the truth about his missing father and a mysterious power surge that threatens the stability of the universe.
            ","Sep 20, 2019, Wide"
126,addicted,2014,united states of america,"drama, romance, thriller",5000000,17390770,0.9918135377295056,143544,0.0081864622704943,17534314,106,r,51%,7%,"Successful businesswoman Zoe Reynard (Sharon Leal) seems to have a charmed life. She has a wonderful, loving husband (Boris Kodjoe), two beautiful children and a thriving career. However, as perfect as her life might look to other people, Zoe is secretly tormented by nymphomania. Her need for constant sexual gratification leads her into a secretive existence -- one that, ultimately, may put her family, career and life on the line. Based on a novel by Zane.
            ","Oct 10, 2014, Wide"
127,admission,2013,united states of america,"comedy, drama, romance",13000000,18007317,0.9662028649044456,629884,0.0337971350955543,18637201,108,pg-13,32%,37%,"When straight-laced Princeton University admissions officer Portia Nathan (Tina Fey) pays a recruiting visit to an alternative high school, she receives some news that catches her way off-guard. John Pressman (Paul Rudd), head of the school and Portia's former college classmate, has surmised that his student, Jeremiah, is the son that Portia secretly gave up for adoption. Portia puts her career at risk by bending the rules for Jeremiah but also discovers a life and romance she never imagined.
            ","Mar 22, 2013, Wide"
128,adoration,2009,canada,drama,4000000,294244,0.7657738312114177,90000,0.2342261687885822,384244,100,r,49%,62%,"A straightforward translation assignment in a high school French class leads to unexpected drama for Simon (Devon Bostick), an imaginative Canadian student, and his teacher, Sabine (Arsinée Khanjian). The son of a Palestinian father, Simon takes an article about a terrorist plot and weaves it into his own tragic family history. Encouraged by Sabine, Simon passes the tale off as a true story -- but the ramifications of this action, which end up online, deliver surprising results.
            ","May 8, 2009, Limited"
129,adrift,2018,united states of america,"action, adventure, biography, drama, romance, thriller",35000000,31445012,0.5245642790095696,28500000,0.4754357209904303,59945012,96,pg-13,66%,69%,"Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved.
            ","Jun 1, 2018, Wide"
130,adventureland,2009,united states of america,"romantic comedy, comedy-drama, period piece, coming of age, comedy, drama, romance film, teen",9800000,16044025,0.9347039467934998,1120795,0.0652960532065002,17164820,107,r,61%,89%,"It's the summer of 1987, and recent college grad James Brennan (Jesse Eisenberg) can't wait to begin his long-anticipated dream trip to Europe. Unfortunately, James' plans come to a screeching halt when his parents announce that they are unable to subsidize his trip. Forced to take a job at the local amusement park, James prepares for the worst summer ever, until he finds love with a captivating co-worker named Em (Kristen Stewart).
            ","Apr 3, 2009, Wide"
131,aeon flux,2005,united states of america,action,55000000,25857987,0.4796192417074639,28055586,0.520380758292536,53913573,92,pg-13,39%,10%,"In the 25th century, the Earth's population has dwindled to a surviving five million following a devastating virus that almost resulted in the extinction of all human life 400 years earlier. Confined to one city-state, a group of rebels, led by Handler (Frances McDormand), seeks to destroy the oppressive government -- first, by assassinating a high-ranking chairman (Marton Csokas). Tasked with this mission, Aeon Flux (Charlize Theron) must integrate herself in a world of deceit and mystery.
            ","Dec 2, 2005, Wide"
132,afraid,2024,united states of america,"horror, mystery, sci-fi, thriller",12000000,6725687,0.5182472195890846,6252071,0.4817527804109153,12977758,84,pg-13,51%,22%,"In AFRAID, Curtis (John Cho) and his family are selected to test a revolutionary new home device: a digital family assistant called AIA. Taking smart home to the next level, once the unit and all its sensors and cameras are installed in their home, AIA seems able to do it all. She learns the family's behaviors and begins to anticipate their needs. And she can make sure nothing -- and no one -- gets in her family's way.
            ","Aug 30, 2024, Wide"
133,after,2019,united states of america,"drama, romance",14000000,12138565,0.1746616756636457,57359022,0.8253383243363543,69497587,105,pg-13,64%,18%,"Tessa Young is a dedicated student, dutiful daughter and loyal girlfriend to her high school sweetheart. Entering her first semester of college, Tessa's guarded world opens up when she meets Hardin Scott, a mysterious and brooding rebel who makes her question all she thought she knew about herself -- and what she wants out of life.
            ","Apr 12, 2019, Wide"
134,after earth,2013,"united states of america, costa rica","science fiction, action, adventure",130000000,60522097,0.2406448414155939,190977568,0.759355158584406,251499665,100,pg-13,36%,12%,"People were forced to leave Earth a millennium ago to establish a new home on Nova Prime. Now, Gen. Cypher Raige (Will Smith) heads Nova Prime's most-prominent family. Cypher's teenage son, Kitai (Jaden Smith), feels enormous pressure to follow in his father's legendary footsteps -- which strains their relationship. Cypher and Kitai set out on a trip to mend their bond, but when their craft crashes on Earth's hostile surface, each must trust the other greatly -- or perish.
            ","May 31, 2013, Wide"
135,after hours,1985,united states of america,black comedy,4500000,10609321,0.9985789340574764,15098,0.0014210659425235,10624419,97,r,87%,90%,"In a Manhattan cafe, word processor Paul Hackett (Griffin Dunne) meets and talks literature with Marcy (Rosanna Arquette). Later that night, Paul takes a cab to Marcy's downtown apartment. His $20 bill flying out the window during the ride portends the unexpected night he has. He cannot pay for the ride and finds himself in a series of awkward, surreal and life-threatening situations with a colorful cast of characters. He spends the rest of the night trying to return uptown.
            ","Oct 11, 1985, Original"
136,after the sunset,2004,united states of america,"crime fiction, heist, crime comedy, caper story, action/adventure, comedy, crime thriller, action",57000000,28331233,0.4521576284721337,34326635,0.5478423715278662,62657868,97,pg-13,52%,18%,"Having already stolen two from the set of three priceless Napoleon Diamonds, expert jewel thief Max Burdett (Pierce Brosnan) decides to retire on a tropical island with his girlfriend and partner-in-crime, Lola (Salma Hayek). Fate intervenes, however, when Max discovers the third and final diamond is sitting on a docked cruise ship on his very island. It should be a simple job, but FBI agent Stan Lloyd (Woody Harrelson) shows up to make sure Max doesn't get any ideas.
            ","Nov 12, 2004, Wide"
137,against the ropes,2004,united states of america,"biography, boxing, sports, drama, biopic [feature], biographical film",39000000,5884190,0.892015491219525,712321,0.107984508780475,6596511,110,pg-13,29%,11%,"Boxing manager Jackie Kallen (Meg Ryan) believes she and a veteran trainer can turn a young man (Omar Epps) into a streamlined prizefighter.
            ","Feb 20, 2004, Original"
138,agent cody banks,2003,"united states of america, canada","thriller, crime fiction, adventure, ""childrens/family"", action/adventure, ""childrens"", comedy, family film, action, romance film, family-oriented adventure, spy",25000000,47938330,0.8153357652298172,10857484,0.1846642347701828,58795814,102,pg,32%,38%,"High school student Cody Banks wants nothing more than what every other teen wants: to survive the banality of adolescence and become an adult. However, Banks is no ordinary teen; he's a CIA agent. When he's not doing his homework, Banks is on the case, spying on fellow student Natalie Connors to get close to her father, a scientist who has invented killer nanobots designed to bring down the country.
            ","Mar 14, 2003, Wide"
139,agent cody banks 2: destination london,2004,"united states of america, united kingdom","adventure, ""childrens/family"", action/adventure, comedy, family film, action, family-oriented adventure, spy",26000000,23630159,0.8199508345103638,5188836,0.1800491654896362,28818995,100,pg,31%,13%,"Teenage spy Cody Banks (Frankie Muniz) returns for another mission, and this time around he has a new partner, the humorous and amiable Derek Bowman (Anthony Anderson). Cody and Derek must travel to England to foil the plot of Victor Diaz (Keith Allen), a villainous operative who aims to wreak havoc with experimental mind-control technology. Joining Cody and Derek is pretty British schoolgirl Emily Sommers (Hannah Spearritt), who turns out to be a fellow undercover spy.
            ","Mar 12, 2004, Wide"
140,agora,2009,spain,"christian film, adventure, world cinema, history, epic, period piece, drama, romance film, historical epic",70000000,619423,0.0156985485743058,38837919,0.984301451425694,39457342,127,r,65%,56%,"In the 4th century A.D., astronomer and philosopher Hypatia (Rachel Weisz) teaches her scientific beliefs to a class of male students. Among them is lovestruck slave Davus (Max Minghella), the equally smitten Orestes (Oscar Isaac) and young Christian man Synesius (Rupert Evans). Hypatia dismisses all of their advances, but this romantic drama pales in comparison to a rising battle between Christians and pagans on the streets of soon-to-be war-torn Alexandria.
            ","Oct 30, 2016"
141,ain't them bodies saints,2013,united states of america,"crime, drama, romance, western",5000000,396519,0.3845058827065977,634724,0.6154941172934022,1031243,96,r,61%,77%,"A man (Casey Affleck) takes the fall for his lover's (Rooney Mara) crime, then four years later breaks out of prison to find her and their young daughter, who was born during his incarceration.
            ","Aug 16, 2013, Limited"
142,air bud,1997,"united states of america, canada","family film, animal picture, coming of age, comedy, ""childrens/family""",3000000,23144499,0.8804805728569791,3141713,0.1195194271430208,26286212,98,pg,38%,48%,"Diffident in the wake of his father's death, high schooler Josh (Kevin Zegers) struggles to adapt to his new home in Washington state. That all changes, however, when he signs up to be the school basketball team's manager and discovers that his pet dog Bud, a stray golden retriever he took in, can play the sport amazingly well. After Bud joins the team, Josh's life brightens considerably, until the dog's former owner Norm Snively (Michael Jeter) returns in hopes of reclaiming the pooch.
            ","Aug 1, 1997, Original"
143,air force one,1997,"united states of america, germany","thriller, action thrillers, short film, action/adventure, suspense, political thriller, disaster, action, political drama, airplanes and airports",85000000,172956409,0.5487954680940663,142200000,0.4512045319059337,315156409,124,r,66%,79%,"After making a speech in Moscow vowing to never negotiate with terrorists, President James Marshall boards Air Force One with his family and advisers. When a group of terrorists led by Ivan Korshunov hijacks the flight, the President's principles are put to the test. Feigning escape, ex-solider Marshall stows away in the aircraft and must race against time to rescue his family and everyone else on board.
            ","Jul 25, 1997, Original"
144,airplane!,1980,united states of america,comedy,3500000,83453539,0.9999907973593264,768,9.20264067377613e-06,83454307,88,pg,89%,97%,"This spoof comedy takes shots at the slew of disaster movies that were released in the 70s. When the passengers and crew of a jet are incapacitated due to food poisoning, a rogue pilot with a drinking problem must cooperate with his ex-girlfriend turned stewardess to bring the plane to a safe landing.
            ","Jan 1, 1980, Wide"
145,akeelah and the bee,2006,united states of america,"drama, family film, family drama, coming of age, childhood drama",8000000,18848430,0.9941457082240474,110994,0.0058542917759526,18959424,112,pg,81%,86%,"Akeelah, an 11-year-old girl living in South Los Angeles, discovers she has a talent for spelling, which she hopes will take her to the National Spelling Bee.
            ","Apr 28, 2006, Wide"
146,akira,1988,japan,"science fiction, japanese movies, epic, animation, anime, fantasy, dystopia",8000000,553171,0.1683659369209454,2732357,0.8316340630790545,3285528,124,r,90%,91%,"In 1988 the Japanese government drops an atomic bomb on Tokyo after ESP experiments on children go awry. In 2019, 31 years after nuking the city, Kaneda, a bike gang leader, tries to save his friend Tetsuo from a secret government project. He battles against anti-government activists, greedy politicians, irresponsible scientists and a powerful military leader until Tetsuo's supernatural power suddenly manifest. A final battle is fought in Tokyo Olympiad exposing the experiment's secrets.
            ","Jan 1, 1988, Wide"
147,akira,1991,japan,action,8000000,19585,0.009596543382403,2021254,0.990403456617597,2040839,124,r,90%,91%,"In 1988 the Japanese government drops an atomic bomb on Tokyo after ESP experiments on children go awry. In 2019, 31 years after nuking the city, Kaneda, a bike gang leader, tries to save his friend Tetsuo from a secret government project. He battles against anti-government activists, greedy politicians, irresponsible scientists and a powerful military leader until Tetsuo's supernatural power suddenly manifest. A final battle is fought in Tokyo Olympiad exposing the experiment's secrets.
            ","Jan 1, 1988, Wide"
148,aladdin,2019,"india, united states of america","adventure, comedy, family, fantasy, musical, romance",183000000,355559216,0.3372454396454912,698744784,0.6627545603545087,1054304000,128,pg,94%,57%,"Aladdin is a lovable street urchin who meets Princess Jasmine, the beautiful daughter of the sultan of Agrabah. While visiting her exotic palace, Aladdin stumbles upon a magic oil lamp that unleashes a powerful, wisecracking, larger-than-life genie. As Aladdin and the genie start to become friends, they must soon embark on a dangerous mission to stop the evil sorcerer Jafar from overthrowing young Jasmine's kingdom.
            ","May 24, 2019, Wide"
149,albert nobbs,2011,"ireland, united kingdom","lgbt, period piece, drama, romance film",7500000,3014696,0.4002379631396106,4517563,0.5997620368603894,7532259,113,r,47%,56%,"In 19th-century Ireland, painfully shy butler Albert Nobbs (Glenn Close) hides an incredible secret: He is really a she. Terrified that someone will discover her identity, Albert keeps a very low profile, until the arrival of Hubert Page (Janet McTeer) registers a sea change in Albert's life. Hubert is also secretly a woman and has managed to find a partner who helps her maintain her masquerade. Hoping to find a similar arrangement, Albert begins wooing a hotel maid (Mia Wasikowska).
            ","Dec 21, 2011, Limited"
150,alex cross,2012,united states of america,"action, crime, mystery, thriller",35000000,25888412,0.7307586900625033,9538347,0.2692413099374967,35426759,101,pg-13,47%,11%,"Alex Cross (Tyler Perry) works as a detective/psychologist for the Detroit Police Department along with his lifelong friend, Tommy Kane (Edward Burns), and detective Monica Ashe (Rachel Nichols). Cross' latest case puts him on a collision course with Picasso (Matthew Fox), a cunning serial killer whose ultimate target is multinational industrialist Giles Mercier (Jean Reno). Cross must find a way inside Picasso's head not only to catch the killer but also to stem the violent urges Cross feels.
            ","Oct 19, 2012, Wide"
151,alexander,2004,"united states of america, france, italy, united kingdom, germany, netherlands","lgbt, biography, adventure, costume drama, history, action/adventure, period piece, drama, war film, romance film, action",155000000,34297191,0.2050063457948188,133001001,0.7949936542051811,167298192,175,r,35%,15%,"The story is an epic that is as daring and ambitious as its subject, a relentless conqueror who by the age of 32 had amassed the greatest empire the world had ever seen. Past and present collide to form the puzzle of the protagonist, a tapestry of triumphs and tragedies in which childhood memories and Alexander's rise to power unfold side by side with the later day expansion of his empire, and its ultimate downfall.
            ","Nov 24, 2004, Wide"
152,"alexander and the terrible, horrible, no good, very bad day",2014,united states of america,"comedy, drama, family, fantasy",28000000,66954149,0.6604322340519124,34425138,0.3395677659480876,101379287,81,pg,58%,62%,"Gum stuck in his hair signals the start of a disastrous day for 11-year-old Alexander (Ed Oxenbould). One calamity follows another, but when Alexander tells his family about his misadventures, he finds little sympathy. Alexander begins to wonder if bad things happen only to him, but he soon learns that he's not alone when his mother (Jennifer Garner), father (Steve Carell), brother (Dylan Minnette) and sister (Kerris Dorsey) all find themselves living through their own calamitous days.
            ","Oct 10, 2014, Wide"
153,alfie,2004,"united states of america, united kingdom","romantic comedy, sex comedy, remake, comedy-drama, drama, comedy, romantic drama, romance film",40000000,13399812,0.3806785104420444,21800000,0.6193214895579556,35199812,103,r,51%,48%,"British-born ladies' man Alfie (Jude Law) exploits his job as a New York City limousine driver to meet and sleep with attractive women -- which infuriates his pseudo-girlfriend Julie (Marisa Tomei), a single mom. His libertine lifestyle is interrupted, however, when his girl-crazy ways end up hurting his best friend, Marlon (Omar Epps). Desperate, Alfie attempts a go at monogamy with the ravishing Nikki (Sienna Miller), but even her good looks aren't enough to keep him out of trouble for long.
            ","Nov 5, 2004, Wide"
154,ali,2001,united states of america,"biography, boxing, sports, period piece, drama, biographical film",109000000,58203105,0.6635567996265127,29510720,0.3364432003734873,87713825,157,r,65%,69%,"With wit and athletic genius, with defiant rage and inner grace, Muhammad Ali forever changed the American landscape. Fighting all comers, Ali took on the law, conventions, the status quo and the war -- as well as the fists in front of him. Ali both ignited and mirrored the conflicts of his time and ours to become one of the most admired fighters in the world. Forget, now, what you thought you knew.
            ","Dec 25, 2001, Wide"
155,alice in wonderland,2010,"united states of america, united kingdom","computer animation, family film, fantasy, adventure",200000000,334191110,0.3258839659760678,691300000,0.6741160340239322,1025491110,108,pg,55%,50%,"A young girl when she first visited magical Underland, Alice Kingsleigh (Mia Wasikowska) is now a teenager with no memory of the place -- except in her dreams. Her life takes a turn for the unexpected when, at a garden party for her fiance and herself, she spots a certain white rabbit and tumbles down a hole after him. Reunited with her friends the Mad Hatter (Johnny Depp), the Cheshire Cat and others, Alice learns it is her destiny to end the Red Queen's (Helena Bonham Carter) reign of terror.
            ","Mar 5, 2010, Wide"
156,alice through the looking glass,2016,united states of america,"adventure, family, fantasy, mystery",170000000,77041381,0.2569580946816104,222779417,0.7430419053183895,299820798,113,pg,48%,29%,"After slipping through a mirror, Alice (Mia Wasikowska) finds herself back in Underland with the White Queen (Anne Hathaway), the Cheshire Cat, the White Rabbit, Tweedledee and Tweedledum. Her friends tell her that the Mad Hatter (Johnny Depp) is in a funk over the loss of his family. Hoping to save his loved ones, Alice steals the Chronosphere from Time (Sacha Baron Cohen) to travel into the past. While there, she encounters the younger Hatter and the evil Red Queen (Helena Bonham Carter).
            ","May 27, 2016, Wide"
157,alien,1979,"united states of america, united kingdom","science fiction, horror, adventure, sci-fi horror, creature film, new hollywood",10700000,84206106,0.7753055610292579,24404112,0.2246944389707421,108610218,117,r,94%,93%,"In deep space, the crew of the commercial starship Nostromo is awakened from their cryo-sleep capsules halfway through their journey home to investigate a distress call from an alien vessel. The terror begins when the crew encounters a nest of eggs inside the alien ship. An organism from inside an egg leaps out and attaches itself to one of the crew, causing him to fall into a coma.
            ","May 25, 1979, Wide"
158,alien resurrection,1997,united states,"action, horror, sci-fi",75000000,47795658,0.2961756244043843,113580411,0.7038243755956157,161376069,109,r,39%,55%,"Two hundred years have passed since Ellen Ripley (Sigourney Weaver) died on Fiorina 161. Aboard the medical research vessel USM Auriga, a team of scientists clone Ripley from her extracted DNA and removes the alien Queen embryo which was growing inside her at the time of her death.
            ","Nov 26, 1997, Wide"
159,alien: covenant,2017,"united kingdom,united states","horror, sci-fi, thriller",97000000,74262031,0.3082796608533269,166629732,0.6917203391466731,240891763,122,r,55%,65%,"Bound for a remote planet on the far side of the galaxy, members (Katherine Waterston, Billy Crudup) of the colony ship Covenant discover what they think to be an uncharted paradise. While there, they meet David (Michael Fassbender), the synthetic survivor of the doomed Prometheus expedition. The mysterious world soon turns dark and dangerous when a hostile alien life-form forces the crew into a deadly fight for survival.
            ","May 19, 2017, Wide"
160,alien: resurrection,1997,united states of america,action,60000000,47802866,0.2974519701116276,112904982,0.7025480298883724,160707848,109,r,39%,55%,"Two hundred years have passed since Ellen Ripley (Sigourney Weaver) died on Fiorina 161. Aboard the medical research vessel USM Auriga, a team of scientists clone Ripley from her extracted DNA and removes the alien Queen embryo which was growing inside her at the time of her death.
            ","Nov 26, 1997, Wide"
161,alien: romulus,2024,united states of america,"horror, sci-fi, thriller",80000000,105313091,0.3001524470889462,245552251,0.6998475529110538,350865342,119,r,85%,80%,"While scavenging the deep ends of a derelict space station, a group of young space colonizers come face to face with the most terrifying life form in the universe.
            ","Aug 16, 2024, Wide"
162,aliens in the attic,2009,"united states of america, canada","science fiction, adventure, ""childrens/family"", fantasy, comedy, family film, family-oriented adventure",45000000,25200412,0.4231716048838108,34350871,0.5768283951161892,59551283,86,pg,43%,34%,"A family vacation is anything but restful when young Tom Pearson (Carter Jenkins), his siblings, and his cousins encounter an invading force of tiny aliens who are bent on conquering Earth. The aliens gain control of Ricky, the boyfriend of Tom's sister Bethany (Ashley Tisdale). Using an implant in his brain, they use him to carry out their plot. When Tom learns that the implant works only on grown-ups, he sees a chance to fight off the invaders -- but only if the adults are kept clueless.
            ","Jul 31, 2009, Wide"
